Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,365713.6309427077,1316569071.3937476 
 01/01  02:00:00,364912.35054945975,1313684461.978055 
 01/01  03:00:00,366541.1172371554,1319548022.0537589 
 01/01  04:00:00,368164.3796063789,1325391766.582964 
 01/01  05:00:00,365455.2968067704,1315639068.504373 
 01/01  06:00:00,381705.95981225185,1374141455.3241062 
 01/01  07:00:00,478777.6425781143,1723599513.2812116 
 01/01  08:00:00,471669.67959272675,1698010846.5338166 
 01/01  09:00:00,460134.1012043124,1656482764.3355246 
 01/01  10:00:00,428732.4002994906,1543436641.0781658 
 01/01  11:00:00,414422.89303186344,1491922414.914708 
 01/01  12:00:00,466668.43326556246,1680006359.7560241 
 01/01  13:00:00,501608.71256129566,1805791365.2206635 
 01/01  14:00:00,504058.8178121669,1814611744.1238005 
 01/01  15:00:00,516137.23995442566,1858094063.8359323 
 01/01  16:00:00,503014.22412961745,1810851206.8666222 
 01/01  17:00:00,558765.3910728773,2011555407.862358 
 01/01  18:00:00,543662.4926849658,1957184973.6658769 
 01/01  19:00:00,524236.01778082596,1887249664.0109735 
 01/01  20:00:00,481935.3069517152,1734967105.0261745 
 01/01  21:00:00,472467.4896678117,1700882962.804122 
 01/01  22:00:00,437464.07895765646,1574870684.2475634 
 01/01  23:00:00,406055.11325207417,1461798407.7074666 
 01/01  24:00:00,381800.4020498043,1374481447.3792949 
 01/02  01:00:00,391429.2903845671,1409145445.3844414 
 01/02  02:00:00,390783.41466408776,1406820292.7907155 
 01/02  03:00:00,393855.1338279878,1417878481.7807558 
 01/02  04:00:00,398285.89256738056,1433829213.2425697 
 01/02  05:00:00,390558.41855579027,1406010306.8008447 
 01/02  06:00:00,435085.32426822284,1566307167.3656018 
 01/02  07:00:00,588675.4013574317,2119231444.886754 
 01/02  08:00:00,628192.862485885,2261494304.949186 
 01/02  09:00:00,941765.74689521,3390356688.822756 
 01/02  10:00:00,929989.8776009575,3347963559.3634467 
 01/02  11:00:00,933356.2645622055,3360082552.4239397 
 01/02  12:00:00,972858.5456939853,3502290764.4983473 
 01/02  13:00:00,929685.082157365,3346866295.7665153 
 01/02  14:00:00,1003321.4432631787,3611957195.747444 
 01/02  15:00:00,1023594.2784293354,3684939402.345607 
 01/02  16:00:00,1039343.2399898212,3741635663.9633565 
 01/02  17:00:00,1094422.7796532363,3939922006.75165 
 01/02  18:00:00,830509.4116229713,2989833881.8426967 
 01/02  19:00:00,751798.5071668025,2706474625.8004894 
 01/02  20:00:00,710596.6347645781,2558147885.152481 
 01/02  21:00:00,665797.1075906624,2396869587.326384 
 01/02  22:00:00,625141.1421676846,2250508111.8036637 
 01/02  23:00:00,477967.301999267,1720682287.1973612 
 01/02  24:00:00,438920.4335752111,1580113560.8707595 
 01/03  01:00:00,390868.1551753422,1407125358.6312318 
 01/03  02:00:00,387749.1357541468,1395896888.7149282 
 01/03  03:00:00,385823.2792043357,1388963805.1356082 
 01/03  04:00:00,383300.90274914145,1379883249.8969088 
 01/03  05:00:00,382520.6633305224,1377074387.9898806 
 01/03  06:00:00,427621.97511509625,1539439110.4143462 
 01/03  07:00:00,586056.3832520641,2109802979.7074304 
 01/03  08:00:00,618793.334597757,2227656004.5519247 
 01/03  09:00:00,936624.3467931635,3371847648.4553876 
 01/03  10:00:00,933143.15504929,3359315358.1774435 
 01/03  11:00:00,936600.9820178793,3371763535.264365 
