Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1320692264.9354656,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1317946401.3097196,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1324346283.918822,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1330450654.5891027,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1320279907.558631,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1378283125.2725973,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1731023681.202292,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1702781121.6033387,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1657160891.8481388,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1563238797.1404507,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1501049079.4413624,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1726539764.1374078,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1802238001.719976,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1835396273.2863777,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1863711557.452343,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1830734985.7295318,42649336.63940403,824394452.0555365 
 01/01  17:00:00,2013405980.8946233,43708954.8400367,824394452.0555365 
 01/01  18:00:00,2106653722.1739588,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1874220560.6260374,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1755741231.4756706,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1690147586.3236291,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1596205164.7722728,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1451353911.1828108,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1390595438.860014,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1413039296.5147734,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1414119958.9280527,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1434452548.45958,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1419809591.3422472,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1425508137.4856746,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1575502658.217652,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2131518969.4096057,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2280052276.8006268,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3449504541.9833584,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3409881447.5385504,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3422370972.0217924,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3574931628.848429,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3386067790.048251,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3706674961.972948,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,3795388330.645871,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,3885495676.353078,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,4080812355.7747326,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,3025443831.846769,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,2720782910.9456797,296653033.108991,941093873.7368754 
 01/02  20:00:00,2578198968.1665998,296653033.108991,941093873.7368754 
 01/02  21:00:00,2426171173.730643,197765105.62937143,941093873.7368754 
 01/02  22:00:00,2279035794.622813,197765105.62937143,941093873.7368754 
 01/02  23:00:00,1724420023.0884125,98887927.4796197,941093873.7368754 
 01/02  24:00:00,1583665595.4746292,49438589.07487582,941093873.7368754 
 01/03  01:00:00,1410799044.9939194,38694479.62202592,836730825.2177298 
 01/03  02:00:00,1399445417.82874,36545657.73145594,836730825.2177298 
 01/03  03:00:00,1392424030.962504,36545657.73145594,836730825.2177298 
 01/03  04:00:00,1382678723.5731826,36545657.73145594,836730825.2177298 
 01/03  05:00:00,1379718677.588539,36545657.73145594,836730825.2177298 
 01/03  06:00:00,1550380056.0447004,38137022.65685523,836730825.2177298 
 01/03  07:00:00,2124608649.8530197,88762776.67582561,941093873.7368754 
 01/03  08:00:00,2240627175.1513453,279633605.7481395,941093873.7368754 
 01/03  09:00:00,3449231721.0392666,776316896.3826163,1524590982.1435692 
 01/03  10:00:00,3433985917.6981554,766185691.1926992,1524590982.1435692 
 01/03  11:00:00,3449995102.9498053,766134049.2768176,1524590982.1435692 
 01/03  12:00:00,3647578426.331237,766134049.2768176,1524590982.1435692 
 01/03  13:00:00,3381198035.4669104,766134049.2768176,1407891560.4622302 
 01/03  14:00:00,3645760894.6172132,766134049.2768176,1524590982.1435692 
 01/03  15:00:00,3756906189.6464024,766134049.2768176,1524590982.1435692 
 01/03  16:00:00,3862520252.0919476,767677295.3575858,1524590982.1435692 
 01/03  17:00:00,4030160132.6830206,785558887.5715864,1524590982.1435692 
 01/03  18:00:00,3002018460.9679275,483237718.91769034,1057793295.4182142 
 01/03  19:00:00,2696223674.8659945,296653033.108991,941093873.7368754 
 01/03  20:00:00,2455828563.799944,296653033.108991,941093873.7368754 
 01/03  21:00:00,2301600986.8952203,197765105.62937143,941093873.7368754 
 01/03  22:00:00,2187889226.1911078,197765105.62937143,941093873.7368754 
