Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly) 
 07/01  01:00:00,475.0 
 07/01  02:00:00,475.0 
 07/01  03:00:00,475.0 
 07/01  04:00:00,475.0 
 07/01  05:00:00,475.0 
 07/01  06:00:00,475.0 
 07/01  07:00:00,2088.759047305344 
 07/01  08:00:00,2100.7380566728816 
 07/01  09:00:00,10945.226265592133 
 07/01  10:00:00,14809.751033917339 
 07/01  11:00:00,15552.582417182746 
 07/01  12:00:00,15235.054653389258 
 07/01  13:00:00,13857.266598093905 
 07/01  14:00:00,15339.102340588579 
 07/01  15:00:00,16086.246296201187 
 07/01  16:00:00,15731.046859845108 
 07/01  17:00:00,14513.979918941915 
 07/01  18:00:00,13979.047767555943 
 07/01  19:00:00,8550.51532593866 
 07/01  20:00:00,5238.136081258126 
 07/01  21:00:00,1600.0 
 07/01  22:00:00,475.0 
 07/01  23:00:00,475.0 
 07/01  24:00:00,475.0 
 07/02  01:00:00,475.0 
 07/02  02:00:00,475.0 
 07/02  03:00:00,475.0 
 07/02  04:00:00,475.0 
 07/02  05:00:00,475.0 
 07/02  06:00:00,475.0 
 07/02  07:00:00,2148.384365491432 
 07/02  08:00:00,2295.4362471787927 
 07/02  09:00:00,11060.184999291698 
 07/02  10:00:00,14602.570481055398 
 07/02  11:00:00,15309.916191273607 
 07/02  12:00:00,15135.881206531458 
 07/02  13:00:00,13818.442372890924 
 07/02  14:00:00,15106.968844003732 
 07/02  15:00:00,16000.132928209063 
 07/02  16:00:00,15777.02694764197 
 07/02  17:00:00,14348.838223948751 
 07/02  18:00:00,14101.584536286071 
 07/02  19:00:00,8783.232923837915 
 07/02  20:00:00,5194.725229329692 
 07/02  21:00:00,1600.0 
 07/02  22:00:00,475.0 
 07/02  23:00:00,475.0 
 07/02  24:00:00,475.0 
 07/03  01:00:00,475.0 
 07/03  02:00:00,475.0 
 07/03  03:00:00,475.0 
 07/03  04:00:00,475.0 
 07/03  05:00:00,475.0 
 07/03  06:00:00,475.0 
 07/03  07:00:00,2126.984109685721 
 07/03  08:00:00,2203.0641837516137 
 07/03  09:00:00,10989.205472264992 
 07/03  10:00:00,14792.64855109123 
 07/03  11:00:00,15712.012458011537 
 07/03  12:00:00,15362.12443899716 
 07/03  13:00:00,13817.61066493115 
 07/03  14:00:00,15095.839019738718 
 07/03  15:00:00,15772.545024496198 
 07/03  16:00:00,15475.337267684903 
 07/03  17:00:00,14040.143012238103 
 07/03  18:00:00,13443.390683256424 
 07/03  19:00:00,8307.665895980525 
 07/03  20:00:00,5057.8019584219055 
 07/03  21:00:00,1600.0 
 07/03  22:00:00,475.0 
 07/03  23:00:00,475.0 
 07/03  24:00:00,475.0 
 07/04  01:00:00,475.0 
 07/04  02:00:00,475.0 
 07/04  03:00:00,475.0 
 07/04  04:00:00,475.0 
 07/04  05:00:00,475.0 
 07/04  06:00:00,475.0 
 07/04  07:00:00,2069.7232563504995 
 07/04  08:00:00,2288.6697742558385 
 07/04  09:00:00,11173.612156375211 
 07/04  10:00:00,15127.964499519543 
 07/04  11:00:00,16194.750586983879 
 07/04  12:00:00,15979.570222129705 
 07/04  13:00:00,14643.265386961733 
 07/04  14:00:00,15786.237811625131 
 07/04  15:00:00,16606.658584582718 
 07/04  16:00:00,16340.59783470024 
 07/04  17:00:00,15125.599641648158 
 07/04  18:00:00,14752.262365145121 
 07/04  19:00:00,9113.946780110658 
 07/04  20:00:00,5301.14033312361 
 07/04  21:00:00,1600.0 
 07/04  22:00:00,475.0 
 07/04  23:00:00,475.0 
 07/04  24:00:00,475.0 
 07/05  01:00:00,1375.0 
 07/05  02:00:00,1375.0 
 07/05  03:00:00,1375.0 
 07/05  04:00:00,1375.0 
 07/05  05:00:00,1375.0 
 07/05  06:00:00,1375.0 
 07/05  07:00:00,1375.0 
 07/05  08:00:00,1375.0 
 07/05  09:00:00,1375.0 
 07/05  10:00:00,1375.0 
 07/05  11:00:00,1375.0 
 07/05  12:00:00,1375.0 
 07/05  13:00:00,1375.0 
 07/05  14:00:00,1375.0 
 07/05  15:00:00,1375.0 
 07/05  16:00:00,1375.0 
 07/05  17:00:00,1375.0 
 07/05  18:00:00,1375.0 
 07/05  19:00:00,1375.0 
 07/05  20:00:00,1375.0 
 07/05  21:00:00,1375.0 
 07/05  22:00:00,1375.0 
 07/05  23:00:00,1375.0 
 07/05  24:00:00,1375.0 
 07/06  01:00:00,1375.0 
 07/06  02:00:00,1375.0 
 07/06  03:00:00,1375.0 
 07/06  04:00:00,1375.0 
 07/06  05:00:00,1375.0 
 07/06  06:00:00,1375.0 
 07/06  07:00:00,1375.0 
 07/06  08:00:00,1375.0 
 07/06  09:00:00,1375.0 
 07/06  10:00:00,1375.0 
 07/06  11:00:00,1375.0 
 07/06  12:00:00,1375.0 
 07/06  13:00:00,1375.0 
 07/06  14:00:00,1375.0 
 07/06  15:00:00,1375.0 
 07/06  16:00:00,1375.0 
 07/06  17:00:00,1375.0 
 07/06  18:00:00,1375.0 
 07/06  19:00:00,1375.0 
 07/06  20:00:00,1375.0 
 07/06  21:00:00,1375.0 
 07/06  22:00:00,1375.0 
 07/06  23:00:00,1375.0 
 07/06  24:00:00,1375.0 
 07/07  01:00:00,475.0 
 07/07  02:00:00,475.0 
 07/07  03:00:00,475.0 
 07/07  04:00:00,475.0 
 07/07  05:00:00,475.0 
 07/07  06:00:00,475.0 
 07/07  07:00:00,2198.316604743982 
 07/07  08:00:00,2275.974108013448 
 07/07  09:00:00,10828.249555978113 
 07/07  10:00:00,14579.70037877582 
 07/07  11:00:00,15299.632986029592 
 07/07  12:00:00,15061.225069365215 
 07/07  13:00:00,13722.106875391713 
 07/07  14:00:00,15013.989194211765 
 07/07  15:00:00,15610.474306622978 
 07/07  16:00:00,14991.638445563658 
 07/07  17:00:00,13545.660625959948 
 07/07  18:00:00,13455.321431768814 
 07/07  19:00:00,8278.00295184243 
 07/07  20:00:00,5051.349976053465 
 07/07  21:00:00,1600.0 
 07/07  22:00:00,475.0 
 07/07  23:00:00,475.0 
 07/07  24:00:00,475.0 
 07/08  01:00:00,475.0 
 07/08  02:00:00,475.0 
 07/08  03:00:00,475.0 
 07/08  04:00:00,475.0 
 07/08  05:00:00,475.0 
 07/08  06:00:00,475.0 
 07/08  07:00:00,2098.42543471467 
 07/08  08:00:00,2197.431564876265 
 07/08  09:00:00,10635.08969114569 
 07/08  10:00:00,14475.68137852263 
 07/08  11:00:00,15714.999626110202 
 07/08  12:00:00,15554.716162941455 
 07/08  13:00:00,14246.984852003527 
 07/08  14:00:00,15408.845182226567 
 07/08  15:00:00,15606.05357506648 
 07/08  16:00:00,14792.916669324954 
 07/08  17:00:00,13467.959144698758 
 07/08  18:00:00,13580.62601488227 
 07/08  19:00:00,8406.382924648722 
 07/08  20:00:00,5131.432289195257 
 07/08  21:00:00,1600.0 
 07/08  22:00:00,475.0 
 07/08  23:00:00,475.0 
 07/08  24:00:00,475.0 
 07/09  01:00:00,475.0 
 07/09  02:00:00,475.0 
 07/09  03:00:00,475.0 
 07/09  04:00:00,475.0 
 07/09  05:00:00,475.0 
 07/09  06:00:00,475.0 
 07/09  07:00:00,2142.4825226250773 
 07/09  08:00:00,2324.1168827385 
 07/09  09:00:00,11246.935621509128 
 07/09  10:00:00,15067.040045568394 
 07/09  11:00:00,15806.149131018994 
 07/09  12:00:00,15571.648569649455 
 07/09  13:00:00,14127.346504225145 
 07/09  14:00:00,15306.03247412516 
 07/09  15:00:00,16097.770819009544 
 07/09  16:00:00,15647.916593853111 
 07/09  17:00:00,14158.972009799749 
 07/09  18:00:00,13606.90352371871 
 07/09  19:00:00,8315.268197965339 
 07/09  20:00:00,5076.468495212646 
 07/09  21:00:00,1600.0 
 07/09  22:00:00,475.0 
 07/09  23:00:00,475.0 
 07/09  24:00:00,475.0 
 07/10  01:00:00,475.0 
 07/10  02:00:00,475.0 
 07/10  03:00:00,475.0 
 07/10  04:00:00,475.0 
 07/10  05:00:00,475.0 
 07/10  06:00:00,474.99999999999994 
 07/10  07:00:00,2229.835541734052 
 07/10  08:00:00,2345.5445398801085 
 07/10  09:00:00,11119.889347026232 
 07/10  10:00:00,15064.688476379433 
 07/10  11:00:00,16209.204480629534 
 07/10  12:00:00,15826.818942821486 
 07/10  13:00:00,14393.586120661468 
 07/10  14:00:00,15555.005558337967 
 07/10  15:00:00,15853.379524730466 
 07/10  16:00:00,14513.609852713813 
 07/10  17:00:00,13590.68957138931 
 07/10  18:00:00,13487.362144434011 
 07/10  19:00:00,8407.792035176797 
 07/10  20:00:00,5191.513690956544 
 07/10  21:00:00,1600.0 
 07/10  22:00:00,475.0 
 07/10  23:00:00,475.0 
 07/10  24:00:00,475.0 
 07/11  01:00:00,475.0 
 07/11  02:00:00,475.0 
 07/11  03:00:00,475.0 
 07/11  04:00:00,475.0 
 07/11  05:00:00,475.0 
 07/11  06:00:00,475.0 
 07/11  07:00:00,2065.7855792757223 
 07/11  08:00:00,2130.8853080751214 
 07/11  09:00:00,10578.414661393834 
 07/11  10:00:00,14401.196987134448 
 07/11  11:00:00,15574.908120052409 
 07/11  12:00:00,15187.695069874742 
 07/11  13:00:00,13747.406677023444 
 07/11  14:00:00,15064.318093059006 
 07/11  15:00:00,15538.906483036986 
 07/11  16:00:00,15039.762381444983 
 07/11  17:00:00,13641.775673353852 
 07/11  18:00:00,13345.04476865135 
 07/11  19:00:00,8242.902978897118 
 07/11  20:00:00,4975.97292132032 
 07/11  21:00:00,1600.0 
 07/11  22:00:00,475.0 
 07/11  23:00:00,475.0 
 07/11  24:00:00,475.0 
 07/12  01:00:00,1375.0 
 07/12  02:00:00,1375.0 
 07/12  03:00:00,1375.0 
 07/12  04:00:00,1375.0 
 07/12  05:00:00,1375.0 
 07/12  06:00:00,1375.0 
 07/12  07:00:00,1375.0 
 07/12  08:00:00,1375.0 
 07/12  09:00:00,1375.0 
 07/12  10:00:00,1375.0 
 07/12  11:00:00,1375.0 
 07/12  12:00:00,1375.0 
 07/12  13:00:00,1375.0 
 07/12  14:00:00,1375.0 
 07/12  15:00:00,1375.0 
 07/12  16:00:00,1375.0 
 07/12  17:00:00,1375.0 
 07/12  18:00:00,1375.0 
 07/12  19:00:00,1375.0 
 07/12  20:00:00,1375.0 
 07/12  21:00:00,1375.0 
 07/12  22:00:00,1375.0 
 07/12  23:00:00,1375.0 
 07/12  24:00:00,1375.0 
 07/13  01:00:00,1375.0 
 07/13  02:00:00,1375.0 
 07/13  03:00:00,1375.0 
 07/13  04:00:00,1375.0 
 07/13  05:00:00,1375.0 
 07/13  06:00:00,1375.0 
 07/13  07:00:00,1375.0 
 07/13  08:00:00,1375.0 
 07/13  09:00:00,1375.0 
 07/13  10:00:00,1375.0 
 07/13  11:00:00,1375.0 
 07/13  12:00:00,1375.0 
 07/13  13:00:00,1375.0 
 07/13  14:00:00,1375.0 
 07/13  15:00:00,1375.0 
 07/13  16:00:00,1375.0 
 07/13  17:00:00,1375.0 
 07/13  18:00:00,1375.0 
 07/13  19:00:00,1375.0 
 07/13  20:00:00,1375.0 
 07/13  21:00:00,1375.0 
 07/13  22:00:00,1375.0 
 07/13  23:00:00,1375.0 
 07/13  24:00:00,1375.0 
 07/14  01:00:00,475.0 
 07/14  02:00:00,475.0 
 07/14  03:00:00,475.0 
 07/14  04:00:00,475.0 
 07/14  05:00:00,475.0 
 07/14  06:00:00,474.99999999999994 
 07/14  07:00:00,2078.856407645113 
 07/14  08:00:00,2317.935268148171 
 07/14  09:00:00,11238.986580012037 
 07/14  10:00:00,15096.297246047183 
 07/14  11:00:00,16002.956811921136 
 07/14  12:00:00,15672.311211766773 
 07/14  13:00:00,14263.386834215273 
 07/14  14:00:00,15720.822147255238 
 07/14  15:00:00,16482.316226856274 
 07/14  16:00:00,16135.74553266004 
 07/14  17:00:00,14861.082554186802 
 07/14  18:00:00,14539.077102298565 
 07/14  19:00:00,9085.509142992987 
 07/14  20:00:00,5337.500028638794 
 07/14  21:00:00,1600.0 
 07/14  22:00:00,475.0 
 07/14  23:00:00,475.0 
 07/14  24:00:00,475.0 
 07/15  01:00:00,475.0 
 07/15  02:00:00,475.0 
 07/15  03:00:00,475.0 
 07/15  04:00:00,475.0 
 07/15  05:00:00,475.0 
 07/15  06:00:00,475.0 
 07/15  07:00:00,2214.644940271796 
 07/15  08:00:00,2489.8199999000226 
 07/15  09:00:00,11500.531618036091 
 07/15  10:00:00,15533.574796100133 
 07/15  11:00:00,16488.916921962293 
 07/15  12:00:00,16348.476831624295 
 07/15  13:00:00,15018.280878378178 
 07/15  14:00:00,16639.412104038136 
 07/15  15:00:00,17402.556572519505 
 07/15  16:00:00,17059.255238887454 
 07/15  17:00:00,15790.44209669177 
 07/15  18:00:00,14920.031151705598 
 07/15  19:00:00,9065.953665391115 
 07/15  20:00:00,5295.144708481373 
 07/15  21:00:00,1600.0 
 07/15  22:00:00,475.0 
 07/15  23:00:00,475.0 
 07/15  24:00:00,475.0 
 07/16  01:00:00,475.0 
 07/16  02:00:00,475.0 
 07/16  03:00:00,475.0 
 07/16  04:00:00,475.0 
 07/16  05:00:00,475.0 
 07/16  06:00:00,475.0 
 07/16  07:00:00,2172.0664957113395 
 07/16  08:00:00,2414.9438940904183 
 07/16  09:00:00,11483.731869687424 
 07/16  10:00:00,15623.194717626158 
 07/16  11:00:00,16591.33942073183 
 07/16  12:00:00,16387.08178287867 
 07/16  13:00:00,14847.537761840767 
 07/16  14:00:00,16359.495472498154 
 07/16  15:00:00,17153.4957537484 
 07/16  16:00:00,16793.240247989823 
 07/16  17:00:00,15124.419771302028 
 07/16  18:00:00,14523.238455317769 
 07/16  19:00:00,8904.936562566565 
 07/16  20:00:00,5328.68570170517 
 07/16  21:00:00,1600.0 
 07/16  22:00:00,475.0 
 07/16  23:00:00,475.0 
 07/16  24:00:00,475.0 
 07/17  01:00:00,475.0 
 07/17  02:00:00,475.0 
 07/17  03:00:00,475.0 
 07/17  04:00:00,475.0 
 07/17  05:00:00,475.0 
 07/17  06:00:00,475.0 
 07/17  07:00:00,2327.237580373252 
 07/17  08:00:00,2635.6945509689895 
 07/17  09:00:00,11656.355658034468 
 07/17  10:00:00,15786.764706095344 
 07/17  11:00:00,16774.65316423209 
 07/17  12:00:00,16647.742837073194 
 07/17  13:00:00,15152.500199126058 
 07/17  14:00:00,16776.72627678829 
 07/17  15:00:00,17592.905101138473 
 07/17  16:00:00,17173.706759209766 
 07/17  17:00:00,15213.888908180516 
 07/17  18:00:00,14390.573724578768 
 07/17  19:00:00,8610.439036156007 
 07/17  20:00:00,5145.95417922386 
 07/17  21:00:00,1600.0 
 07/17  22:00:00,475.0 
 07/17  23:00:00,475.0 
 07/17  24:00:00,475.0 
 07/18  01:00:00,475.0 
 07/18  02:00:00,475.0 
 07/18  03:00:00,475.0 
 07/18  04:00:00,475.0 
 07/18  05:00:00,475.0 
 07/18  06:00:00,475.0 
 07/18  07:00:00,2267.1679659001975 
 07/18  08:00:00,2413.4234168919184 
 07/18  09:00:00,11313.910346602683 
 07/18  10:00:00,15560.287576107163 
 07/18  11:00:00,16784.57400807891 
 07/18  12:00:00,16378.97305886659 
 07/18  13:00:00,14563.033299207396 
 07/18  14:00:00,16105.212863401628 
 07/18  15:00:00,16491.739667432143 
 07/18  16:00:00,15345.47996629778 
 07/18  17:00:00,13787.61124179647 
 07/18  18:00:00,13437.335479254749 
 07/18  19:00:00,8433.326373376356 
 07/18  20:00:00,5237.774621068417 
 07/18  21:00:00,1600.0 
 07/18  22:00:00,475.0 
 07/18  23:00:00,475.0 
 07/18  24:00:00,475.0 
 07/19  01:00:00,1375.0 
 07/19  02:00:00,1375.0 
 07/19  03:00:00,1375.0 
 07/19  04:00:00,1375.0 
 07/19  05:00:00,1375.0 
 07/19  06:00:00,1375.0 
 07/19  07:00:00,1375.0 
 07/19  08:00:00,1375.0 
 07/19  09:00:00,1375.0 
 07/19  10:00:00,1375.0 
 07/19  11:00:00,1375.0 
 07/19  12:00:00,1375.0 
 07/19  13:00:00,1375.0 
 07/19  14:00:00,1375.0 
 07/19  15:00:00,1375.0 
 07/19  16:00:00,1375.0 
 07/19  17:00:00,1375.0 
 07/19  18:00:00,1375.0 
 07/19  19:00:00,1375.0 
 07/19  20:00:00,1375.0 
 07/19  21:00:00,1375.0 
 07/19  22:00:00,1375.0 
 07/19  23:00:00,1375.0 
 07/19  24:00:00,1375.0 
 07/20  01:00:00,1375.0 
 07/20  02:00:00,1375.0 
 07/20  03:00:00,1375.0 
 07/20  04:00:00,1375.0 
 07/20  05:00:00,1375.0 
 07/20  06:00:00,1375.0 
 07/20  07:00:00,1375.0 
 07/20  08:00:00,1375.0 
 07/20  09:00:00,1375.0 
 07/20  10:00:00,1375.0 
 07/20  11:00:00,1375.0 
 07/20  12:00:00,1375.0 
 07/20  13:00:00,1375.0 
 07/20  14:00:00,1375.0 
 07/20  15:00:00,1375.0 
 07/20  16:00:00,1375.0 
 07/20  17:00:00,1375.0 
 07/20  18:00:00,1375.0 
 07/20  19:00:00,1375.0 
 07/20  20:00:00,1375.0 
 07/20  21:00:00,1375.0 
 07/20  22:00:00,1375.0 
 07/20  23:00:00,1375.0 
 07/20  24:00:00,1375.0 
 07/21  01:00:00,475.0 
 07/21  02:00:00,475.0 
 07/21  03:00:00,475.0 
 07/21  04:00:00,475.0 
 07/21  05:00:00,475.0 
 07/21  06:00:00,475.0 
 07/21  07:00:00,2251.8247710733676 
 07/21  08:00:00,2321.5555044555904 
 07/21  09:00:00,10915.443192498638 
 07/21  10:00:00,15128.584785050894 
 07/21  11:00:00,16385.18840009595 
 07/21  12:00:00,16073.973726870037 
