Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly) 
 01/01  01:00:00,-13.125,-5.748988034139959,-5.94201114511635,-5.83018886431737,-5.951184501059892,-5.814063273762134,-6.079224090262343,16.38813291016955,567.5083622786244,0.0,16.779310138964888,84.91014870850807,0.0,17.04438915069136,16.20298370831034,0.0,16.77529355737245,78.68461100149511,0.0,17.055715957854055,17.115611724912355,0.0,18.86649967272745,0.0,179.94359189000374,0.0,27.07126472713202,0.0,0.0,37.751080996944616,0.0,32.84826168352396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.07126472713202,33.83908090891502,0.0,0.0,7.22,7.22,0.0,0.0,61.7621747981225,0.0003144250139904255,7.22,0.0,16.0610100137761,0.0028412583275423185,-5.72725879634397,17.259582882297334,0.4594377161055717,0.0028412583275423185,16.0,81.99869840877331,0.0,0.0,0.0,7.22,0.0,-13.125,0.007633370609653925,0.0010646521587386502,11.5,-13.125,0.007633370609653925,0.0010646521587386502,4.5,3712770.322309313 
 01/01  02:00:00,-17.125,-5.959214400416077,-5.984482585485042,-5.983950386295393,-5.9868747256255865,-5.988694090628655,-6.050219348070346,15.770605086850805,769.0436960172306,0.0,16.699698233452104,275.99804295149335,0.0,16.740775753350043,22.484014118664845,2.2417740355667775,16.699366293323383,258.92603231318685,0.0,16.743614479205654,21.67082746620855,2.708700298171948,18.88532626796796,0.0,258.5066479749059,0.0,314.847143946237,0.0,0.0,288.0613135504892,32.59258216079364,270.5230966281168,32.97129285189353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.847143946237,393.5589299327963,0.0,0.0,7.22,7.22,0.0,0.0,57.98324952105338,0.0030474023422012945,7.22,0.0,15.377909377624317,0.0027418168382813703,-6.0610471423927175,16.576701622095023,0.4594377161055717,0.0027418168382813703,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-17.125,0.007633370609653925,0.0008469464154752874,11.5,-17.125,0.007633370609653925,0.0008469464154752874,4.5,3715322.8169681686 
 01/01  03:00:00,-15.787500000000001,-6.080478891094084,-6.110791526587456,-6.1403619028485865,-6.1092347351113485,-6.1450016370189555,-6.108970294564073,15.151855229964866,1023.9991889902205,0.0,16.699685016823597,409.79149618414095,0.0,16.700767952150656,108.38324304606255,0.0,16.700008754159317,391.53573684442017,0.0,16.700151380084066,107.11709002904468,0.0,18.72082821587526,0.0,297.3656849026015,0.0,899.4151839785784,0.0,0.0,472.0707185939297,156.2269081655469,451.5969683626482,160.41175714409678,0.0,0.0,37.10439200547783,0.0,0.0,0.0,0.0,899.4151839785784,1124.268979973223,0.0,0.0,7.22,7.22,0.0,0.0,49.78778884686089,0.006616212249920587,7.22,0.0,14.786330876714219,0.002718316585855447,-6.179547451853145,16.06514527252389,0.4594377161055717,0.002718316585855447,16.0,82.0,0.0,0.0001927861444027786,0.0,7.22,0.0,-15.787500000000001,0.007633370609653925,0.0009674091118965591,11.5,-15.787500000000001,0.007633370609653925,0.0009674091118965591,4.5,3718633.8490322973 
 01/01  04:00:00,-14.7375,-6.2040051826140985,-6.236354268335534,-6.263727036524825,-6.234191731026836,-6.267300065256927,-6.211956733555295,14.65262929183974,1240.6179708772054,0.0,16.700121011427093,466.1797197925498,0.0,16.700302302984092,146.1999987620734,0.0,16.699956223183364,446.633680489233,0.0,16.700504624373497,146.0366497602941,0.0,18.599968734853153,0.0,291.15504241482404,0.0,1529.889211218859,0.0,0.0,534.9273883724045,198.93480713350672,512.8833233370913,204.85367762700122,0.0,0.0,245.01377529065257,0.0,0.0,0.0,0.0,1529.889211218859,1912.3615140235734,0.0,0.0,7.22,7.22,0.0,0.0,43.44377008377752,0.009468947995409677,7.22,0.0,14.272699878043408,0.002698429168288073,-6.295580275893158,15.999674550521211,0.4594377161055717,0.002698429168288073,16.0,82.0,0.0,0.0014432081188423837,0.0,7.22,0.0,-14.7375,0.007633370609653925,0.001118238856790453,11.5,-14.7375,0.007633370609653925,0.001118238856790453,4.5,3721265.3897047746 
 01/01  05:00:00,-13.525,-6.275938625882167,-6.307580009354733,-6.331673868704669,-6.305492979409067,-6.334745990508162,-6.276969764980299,14.298236548317838,1394.9691759581126,0.0,16.70081590124697,470.0836073698656,0.0,16.699598757332325,154.24183607568386,0.0,16.700017907126327,449.52989653159096,0.0,16.69973645561081,154.1491452800143,0.0,18.518790241642677,0.0,282.0340060155576,0.0,2101.0029921788473,0.0,0.0,538.8794922590087,206.90720319878963,515.7661162211913,212.88326986966197,0.0,0.0,411.9553101552748,0.0,0.0,0.0,0.0,2101.0029921788473,2626.2537402235594,0.0,0.0,7.22,7.22,0.0,0.0,44.59659073850199,0.013479663436326443,7.22,0.0,13.91301754082739,0.0026808601139447713,-6.360481545482878,15.999873427475524,0.4594377161055717,0.0026808601139447713,16.0,82.0,0.0,0.002608206312807044,0.0,7.22,0.0,-13.525,0.007633370609653925,0.0012392509228012247,11.5,-13.525,0.007633370609653925,0.0012392509228012247,4.5,3724995.4381513502 
 01/01  06:00:00,-11.812500000000002,-6.3695250022027645,-6.397623955263857,-6.418214505130488,-6.395773188193227,-6.420772831396413,-6.367287540410975,14.063485349196306,1496.9316708717174,0.0,16.700118474566256,425.2620562694299,0.0,16.699578265793082,140.053800456896,0.0,16.699962011073637,405.7541660749776,0.0,16.699406882772138,139.88658947336847,0.0,18.463326069438466,0.0,275.80579965633194,0.0,2130.9772716554066,0.0,0.0,493.98329337953703,192.710843653164,471.9792062863163,198.58534444036397,0.0,0.0,519.2208794679797,0.0,0.0,0.0,0.0,2130.9772716554066,2663.721589569258,0.0,0.0,7.22,7.22,0.0,0.0,50.61945179705733,0.016268309895982852,7.22,0.0,13.681841437338232,0.0026667315379592,-6.440511345980721,15.999957385598277,0.4594377161055717,0.0026667315379592,16.0,82.0,0.0,0.0034190444033273923,0.0,7.22,0.0,-11.812500000000002,0.007633370609653925,0.0014479452529426698,11.5,-11.812500000000002,0.007633370609653925,0.0014479452529426698,4.5,3727625.414588421 
 01/01  07:00:00,-10.224999999999998,-7.658077344876794,-8.346907582371756,-9.197637571316161,-8.295505062143224,-9.359224278347277,-7.720664238269833,14.585860899735005,2663.022083473068,0.0,20.3015947746458,3649.9995657265545,0.0,20.41041187009528,1687.4192676181915,0.0,20.251498810013928,3541.7324664629423,0.0,20.433274693608336,1695.6416592495666,0.0,20.82855587385786,2941.8272590810157,0.0,0.0,26521.893114150105,0.0,0.0,4069.0248221119477,2018.4548523035473,3940.8122832392937,2066.883841566506,3479.209882793949,5664.379531187752,3980.785423216119,0.0,0.0,0.0,0.0,25948.599673435685,32435.7495917946,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,70.31586372973584,0.5400560234903673,7.219999999999999,0.0,6.193755321064704,0.0017770160811903634,-11.069189159734243,15.989164744768377,0.4594377161055717,0.0017770160811903634,16.0,81.76004590468162,0.09504432236985193,0.08049381942210704,0.0,7.219999999999999,0.0,4.500017320764552,0.3816685304826962,0.0016379806390302211,11.5,4.500017320764552,0.3816685304826962,0.0016379806390302211,4.5,4220616.7190980995 
 01/01  08:00:00,-8.45,-9.724599980609662,-10.028746569493595,-10.501336136746746,-9.98281330003146,-10.539287159561535,-9.31174558115379,15.5336322719918,3021.6699480199463,0.0,21.996947311184858,3422.427650385646,0.0,22.03787344330388,1448.2950514184643,0.0,21.961386356486116,3326.483775426921,0.0,22.026905841223726,1515.2191302537778,0.0,22.06347866751883,2764.6169539939588,0.0,0.0,23901.267109733704,0.0,0.0,4009.8166961938114,1902.1599313620002,3889.2460451481184,2020.3881888878573,3441.400643735403,4983.472187934997,3918.2846409244294,0.0,0.0,0.0,0.0,23901.267109733704,29876.58388716713,0.0,0.0,7.22,7.22,0.0,0.0,70.14038491336541,0.48382086571022354,7.22,0.0,6.341792023264629,0.0018910771921989218,-10.391806767727918,16.000234333922695,0.4594377161055717,0.0018910771921989218,16.0,82.0,0.07104534436382756,0.07582117230785328,0.0,7.22,0.0,4.499733597672893,0.3816685304826962,0.0018585551090133075,11.5,4.499733597672893,0.3816685304826962,0.0018585551090133075,4.5,4167682.5234499276 
 01/01  09:00:00,-6.575000000000001,-5.955845253148536,-2.829792551076553,-3.7462416151560483,-2.757311919174827,-3.9853930034180465,-1.936791394494298,16.856494225840272,3866.2268234450257,0.0,22.201787658170083,735.1992288894813,0.0,22.205030159425224,72.1977165770843,174.49867286135407,22.201851514466576,632.5177337809974,0.0,22.20212250665453,265.18119865302754,0.0,22.676683503045933,0.0,749.0006251493189,0.0,11491.239179110966,0.0,0.0,1342.1174531637432,364.77288836595096,1217.6946741753143,784.8800828305903,0.0,4264.152394539272,3822.773492252972,0.0,0.0,0.0,0.0,11491.239179110966,14364.048973888708,0.0,0.0,7.22,7.22,0.0,0.0,63.61224485771701,0.1496521784334605,7.22,0.0,6.553353940510957,0.002203549264755501,-8.689071231045425,16.000206477228822,0.4594377161055717,0.002203549264755501,16.0,82.0,0.0523508485079106,0.0709253354866996,0.0,7.22,0.0,4.499907459085783,0.3816685304826962,0.002135243165819406,11.5,4.499907459085783,0.3816685304826962,0.002135243165819406,4.5,33642753.447366826 
 01/01  10:00:00,-3.5875000000000004,1.1536109477737981,2.4841626006953668,0.18068983034702893,2.6474368492246594,-0.24342532962381683,4.621046828610767,18.220264652995542,3835.517672690487,0.0,22.358746587149092,0.0,558.4923305634957,23.59260689013837,0.0,700.4095478820959,22.280769562555644,0.0,521.4825451506738,22.20152658483653,0.0,298.89894154713284,23.795175205036855,0.0,1180.1116935910866,0.0,6905.202520052782,0.0,0.0,68.47184812619633,0.0,75.44059834428394,222.55304479118053,0.0,3115.5784714248634,3572.7524201779097,0.0,0.0,0.0,0.0,6905.202520052782,8631.503150065979,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,63.33418748780784,0.08924208768867509,7.219999999999999,0.0,7.915423784645606,0.0030520629904300504,-4.996552877024483,15.999545033666354,0.512999195971208,0.0030520629904300504,16.0,82.0,0.03134816453132541,0.05596938806971051,0.0,7.219999999999999,0.0,4.499999824521856,0.3816685304826962,0.0024317641127699413,11.5,4.499999824521856,0.3816685304826962,0.0024317641127699413,4.5,43976018.36557705 
