Model,Use Case,Success Rate (%),Task Success Rate (%),Tool Selection Acc.,Avg Time (s)
qwen3:8b,3d_visualization_ifc,0.0,80.0,0.8,256.03
qwen3:8b,calculate_epi,0.0,0.0,0.0,900.1
qwen3:8b,delhi_occupancy_increase,20.0,20.0,0.35,320.15
qwen3:8b,get_epi_benchmark,20.0,20.0,0.2,884.58
qwen3:8b,gross_area_calculation,60.0,60.0,0.8,61.14
qwen3:8b,occupancy_calibration,0.0,80.0,0.9,64.98
qwen3:8b,occupancy_comparison_delhi,60.0,80.0,0.85,159.29
llama3.1:8b,3d_visualization_ifc,0.0,0.0,0.5,6.7
llama3.1:8b,calculate_epi,0.0,0.0,0.35,9.96
llama3.1:8b,delhi_occupancy_increase,0.0,0.0,0.0,2.82
llama3.1:8b,get_epi_benchmark,0.0,100.0,1.0,4.87
llama3.1:8b,gross_area_calculation,0.0,0.0,0.0,2.89
llama3.1:8b,occupancy_calibration,0.0,0.0,0.5,10.52
llama3.1:8b,occupancy_comparison_delhi,0.0,0.0,0.0,1.71
gemma4:latest,3d_visualization_ifc,0.0,0.0,0.1,784.15
gemma4:latest,calculate_epi,0.0,0.0,0.05,729.51
gemma4:latest,delhi_occupancy_increase,0.0,0.0,0.0,900.07
gemma4:latest,get_epi_benchmark,100.0,100.0,1.0,30.92
gemma4:latest,gross_area_calculation,0.0,0.0,0.0,900.07
gemma4:latest,occupancy_calibration,0.0,0.0,0.0,499.94
gemma4:latest,occupancy_comparison_delhi,0.0,0.0,0.0,0.0
mistral-nemo:12b,3d_visualization_ifc,0.0,0.0,0.0,0.0
mistral-nemo:12b,calculate_epi,0.0,0.0,0.0,0.0
mistral-nemo:12b,delhi_occupancy_increase,0.0,0.0,0.0,0.0
mistral-nemo:12b,get_epi_benchmark,0.0,0.0,0.0,0.0
mistral-nemo:12b,gross_area_calculation,0.0,0.0,0.0,0.0
mistral-nemo:12b,occupancy_calibration,0.0,0.0,0.0,0.0
mistral-nemo:12b,occupancy_comparison_delhi,0.0,0.0,0.0,0.0
