Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Total Sky Cover [](Hourly),Environment:Site Opaque Sky Cover [](Hourly),Environment:Site Daylight Saving Time Status [](Daily),Environment:Site Day Type Index [](Daily),ZONE ONE:Zone Total Internal Latent Gain Energy [J](Hourly),TEST 352A:Other Equipment Total Heating Energy [J](Monthly),TEST 352 MINUS:Other Equipment Total Heating Energy [J](Monthly),ZONE ONE:Zone Other Equipment Total Heating Energy [J](Monthly),ZN001:WALL001:Surface Inside Face Temperature [C](Daily),ZN001:WALL001:Surface Outside Face Temperature [C](Daily),ZN001:WALL001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Inside Face Temperature [C](Daily),ZN001:WALL002:Surface Outside Face Temperature [C](Daily),ZN001:WALL002:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL002:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Inside Face Temperature [C](Daily),ZN001:WALL003:Surface Outside Face Temperature [C](Daily),ZN001:WALL003:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL003:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Inside Face Temperature [C](Daily),ZN001:WALL004:Surface Outside Face Temperature [C](Daily),ZN001:WALL004:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:WALL004:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:FLR001:Surface Inside Face Temperature [C](Daily),ZN001:FLR001:Surface Outside Face Temperature [C](Daily),ZN001:FLR001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Inside Face Temperature [C](Daily),ZN001:ROOF001:Surface Outside Face Temperature [C](Daily),ZN001:ROOF001:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZN001:ROOF001:Surface Outside Face Convection Heat Transfer Coefficient [W/m2-K](Daily),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Wetbulb Globe Temperature [C](Hourly),ZONE ONE:Zone Operative Temperature [C](Hourly),ZONE ONE:Zone Air Heat Balance Surface Convection Rate [W](Hourly),ZONE ONE:Zone Air Heat Balance Air Energy Storage Rate [W](Hourly),ZONE ONE:Zone Mean Radiant Temperature [C](Hourly) 
 01/01  01:00:00,-13.125,1.25,1.25,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.551478022506355,-6.724126812991621,-4.761567302616804,-368.85075101554435,-294.34815077642736,-4.971656582727252 
 01/01  02:00:00,-17.125,2.625,2.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.597198887282704,-7.452346735004094,-5.708863190644804,-155.45691198718947,-237.01432936613134,-5.820527494006905 
 01/01  03:00:00,-15.787500000000001,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.89221460661394,-7.6708026093984,-5.979618354112775,-71.39899119350414,-67.41126620759584,-6.067022101611609 
 01/01  04:00:00,-14.7375,3.625,3.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0826640088907595,-7.818116608563987,-6.158687619436661,-53.329874596086945,-55.50509447135674,-6.234711229982561 
 01/01  05:00:00,-13.525,4.625,4.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.216194980220916,-7.911757237734892,-6.277868483876075,-31.634652483878973,-34.6651077800469,-6.339541987531234 
 01/01  06:00:00,-11.812500000000002,5.625,5.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.277078528379917,-7.957004573116322,-6.3212490619098105,-7.30816893131481,-10.42072815192274,-6.365419595439704 
 01/01  07:00:00,-10.224999999999998,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.299553586561759,-7.97993040062303,-6.339766031702801,-11.61613484048539,-9.775094104266039,-6.379978476843841 
 01/01  08:00:00,-8.45,6.625,6.625,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.197329322817834,-7.873587522808801,-6.128110177873044,118.22375824118286,90.03147640234303,-6.058891032928255 
 01/01  09:00:00,-6.575000000000001,7.0,7.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.558293838810915,-7.3519509648598,-5.349452529723339,330.58465987216164,298.79702751291575,-5.140611220635763 
 01/01  10:00:00,-3.5875000000000004,7.625,5.125,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.164370072901931,-6.334493550601568,-3.9961106534037336,471.27621456256725,484.3399560514862,-3.8278512339055357 
 01/01  11:00:00,0.04999999999999982,8.0,4.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0504090086289217,-5.5647023004271166,-2.998387842883181,283.5671880160443,288.4960910531126,-2.9463666771374415 
 01/01  12:00:00,2.2749999999999995,7.375,5.875,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.451809194785015,-5.169447803243096,-2.504173661328937,69.24190410165045,104.62232938980165,-2.5565381278728596 
