Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,36545657.73145594,746122165.6661776 
 01/01  02:00:00,36545657.73145594,746122165.6661776 
 01/01  03:00:00,36545657.73145594,746122165.6661776 
 01/01  04:00:00,36545657.73145594,746122165.6661776 
 01/01  05:00:00,36545657.73145594,746122165.6661776 
 01/01  06:00:00,36545657.73145594,746122165.6661776 
 01/01  07:00:00,47289767.18430585,824394452.0555365 
 01/01  08:00:00,46566726.65646302,824394452.0555365 
 01/01  09:00:00,43072650.04700511,824394452.0555365 
 01/01  10:00:00,42562756.778707296,824394452.0555365 
 01/01  11:00:00,42559924.65578557,824394452.0555365 
 01/01  12:00:00,42559924.65578557,824394452.0555365 
 01/01  13:00:00,42559924.65578557,824394452.0555365 
 01/01  14:00:00,42559924.65578557,824394452.0555365 
 01/01  15:00:00,42559924.65578557,824394452.0555365 
 01/01  16:00:00,42649336.63940403,824394452.0555365 
 01/01  17:00:00,43708954.8400367,824394452.0555365 
 01/01  18:00:00,48362016.69552845,824394452.0555365 
 01/01  19:00:00,38694479.62202592,746122165.6661776 
 01/01  20:00:00,36545657.73145594,746122165.6661776 
 01/01  21:00:00,36545657.73145594,746122165.6661776 
 01/01  22:00:00,36545657.73145594,746122165.6661776 
 01/01  23:00:00,36545657.73145594,746122165.6661776 
 01/01  24:00:00,36545657.73145594,746122165.6661776 
 01/02  01:00:00,36545657.73145594,836730825.2177298 
 01/02  02:00:00,36545657.73145594,836730825.2177298 
 01/02  03:00:00,36545657.73145594,836730825.2177298 
 01/02  04:00:00,36545657.73145594,836730825.2177298 
 01/02  05:00:00,36545657.73145594,836730825.2177298 
 01/02  06:00:00,38137022.65685523,836730825.2177298 
 01/02  07:00:00,88762776.67582561,941093873.7368754 
 01/02  08:00:00,279646257.7145797,941093873.7368754 
 01/02  09:00:00,776464567.441367,1524590982.1435692 
 01/02  10:00:00,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,296653033.108991,941093873.7368754 
 01/02  20:00:00,296653033.108991,941093873.7368754 
 01/02  21:00:00,197765105.62937143,941093873.7368754 
 01/02  22:00:00,197765105.62937143,941093873.7368754 
 01/02  23:00:00,98887927.4796197,941093873.7368754 
 01/02  24:00:00,49438589.07487582,941093873.7368754 
 01/03  01:00:00,38694479.62202592,836730825.2177298 
 01/03  02:00:00,36545657.73145594,836730825.2177298 
 01/03  03:00:00,36545657.73145594,836730825.2177298 
 01/03  04:00:00,36545657.73145594,836730825.2177298 
 01/03  05:00:00,36545657.73145594,836730825.2177298 
 01/03  06:00:00,38137022.65685523,836730825.2177298 
 01/03  07:00:00,88762776.67582561,941093873.7368754 
 01/03  08:00:00,279633605.7481395,941093873.7368754 
 01/03  09:00:00,776316896.3826163,1524590982.1435692 
 01/03  10:00:00,766185691.1926992,1524590982.1435692 
 01/03  11:00:00,766134049.2768176,1524590982.1435692 
 01/03  12:00:00,766134049.2768176,1524590982.1435692 
 01/03  13:00:00,766134049.2768176,1407891560.4622302 
 01/03  14:00:00,766134049.2768176,1524590982.1435692 
 01/03  15:00:00,766134049.2768176,1524590982.1435692 
 01/03  16:00:00,767677295.3575858,1524590982.1435692 
 01/03  17:00:00,785558887.5715864,1524590982.1435692 
 01/03  18:00:00,483237718.91769034,1057793295.4182142 
 01/03  19:00:00,296653033.108991,941093873.7368754 
 01/03  20:00:00,296653033.108991,941093873.7368754 
 01/03  21:00:00,197765105.62937143,941093873.7368754 
 01/03  22:00:00,197765105.62937143,941093873.7368754 
 01/03  23:00:00,98887927.4796197,941093873.7368754 
 01/03  24:00:00,49438589.07487582,941093873.7368754 
 01/04  01:00:00,38694479.62202592,836730825.2177298 
 01/04  02:00:00,36545657.73145594,836730825.2177298 
 01/04  03:00:00,36545657.73145594,836730825.2177298 
 01/04  04:00:00,36545657.73145594,836730825.2177298 
 01/04  05:00:00,36545657.73145594,836730825.2177298 
 01/04  06:00:00,38137022.65685523,836730825.2177298 
 01/04  07:00:00,88762776.67582561,941093873.7368754 
 01/04  08:00:00,279666506.59585273,941093873.7368754 
 01/04  09:00:00,776483887.7921437,1524590982.1435692 
 01/04  10:00:00,766187374.0659232,1524590982.1435692 
 01/04  11:00:00,766134049.2768176,1524590982.1435692 
 01/04  12:00:00,766134049.2768176,1524590982.1435692 
 01/04  13:00:00,766134049.2768176,1407891560.4622302 
 01/04  14:00:00,766134049.2768176,1524590982.1435692 
 01/04  15:00:00,766134049.2768176,1524590982.1435692 
 01/04  16:00:00,768061171.841798,1524590982.1435692 
 01/04  17:00:00,786479873.9363433,1524590982.1435692 
 01/04  18:00:00,485740941.4852057,1057793295.4182142 
 01/04  19:00:00,296653033.108991,941093873.7368754 
 01/04  20:00:00,296653033.108991,941093873.7368754 
 01/04  21:00:00,197765105.62937143,941093873.7368754 
 01/04  22:00:00,197765105.62937143,941093873.7368754 
 01/04  23:00:00,98887927.4796197,941093873.7368754 
 01/04  24:00:00,49438589.07487582,941093873.7368754 
 01/05  01:00:00,38694479.62202592,836730825.2177298 
 01/05  02:00:00,36545657.73145594,836730825.2177298 
 01/05  03:00:00,36545657.73145594,836730825.2177298 
 01/05  04:00:00,36545657.73145594,836730825.2177298 
 01/05  05:00:00,36545657.73145594,836730825.2177298 
 01/05  06:00:00,38137022.65685523,836730825.2177298 
 01/05  07:00:00,88762776.67582561,941093873.7368754 
 01/05  08:00:00,279697038.1852708,941093873.7368754 
 01/05  09:00:00,776566353.1916863,1524590982.1435692 
 01/05  10:00:00,766187812.2595317,1524590982.1435692 
 01/05  11:00:00,766134049.2768176,1524590982.1435692 
 01/05  12:00:00,766134049.2768176,1524590982.1435692 
 01/05  13:00:00,766134049.2768176,1407891560.4622302 
 01/05  14:00:00,766134049.2768176,1524590982.1435692 
 01/05  15:00:00,766134049.2768176,1524590982.1435692 
 01/05  16:00:00,767644962.7387521,1524590982.1435692 
 01/05  17:00:00,784017154.3845294,1524590982.1435692 
 01/05  18:00:00,482917697.53296125,1057793295.4182142 
 01/05  19:00:00,296653033.108991,941093873.7368754 
 01/05  20:00:00,296653033.108991,941093873.7368754 
 01/05  21:00:00,197765105.62937143,941093873.7368754 
 01/05  22:00:00,197765105.62937143,941093873.7368754 
 01/05  23:00:00,98887927.4796197,941093873.7368754 
 01/05  24:00:00,49438589.07487582,941093873.7368754 
 01/06  01:00:00,38694479.62202592,836730825.2177298 
 01/06  02:00:00,36545657.73145594,836730825.2177298 
 01/06  03:00:00,36545657.73145594,836730825.2177298 
 01/06  04:00:00,36545657.73145594,836730825.2177298 
 01/06  05:00:00,36545657.73145594,836730825.2177298 
 01/06  06:00:00,38137022.65685523,836730825.2177298 
 01/06  07:00:00,88762776.67582561,941093873.7368754 
 01/06  08:00:00,287750246.80178064,941093873.7368754 
 01/06  09:00:00,780458579.0939331,1524590982.1435692 
 01/06  10:00:00,767472746.8948953,1524590982.1435692 
 01/06  11:00:00,766134049.2768176,1524590982.1435692 
 01/06  12:00:00,766134049.2768176,1524590982.1435692 
 01/06  13:00:00,766134049.2768176,1407891560.4622302 
 01/06  14:00:00,766134049.2768176,1524590982.1435692 
 01/06  15:00:00,766134049.2768176,1524590982.1435692 
 01/06  16:00:00,768564483.2628165,1524590982.1435692 
 01/06  17:00:00,786829997.4823973,1524590982.1435692 
 01/06  18:00:00,483764905.8279105,1057793295.4182142 
 01/06  19:00:00,296653033.108991,941093873.7368754 
 01/06  20:00:00,296653033.108991,941093873.7368754 
 01/06  21:00:00,197765105.62937143,941093873.7368754 
 01/06  22:00:00,197765105.62937143,941093873.7368754 
 01/06  23:00:00,98887927.4796197,941093873.7368754 
 01/06  24:00:00,49438589.07487582,941093873.7368754 
 01/07  01:00:00,38694479.62202592,746122165.6661776 
 01/07  02:00:00,36545657.73145594,746122165.6661776 
 01/07  03:00:00,36545657.73145594,746122165.6661776 
 01/07  04:00:00,36545657.73145594,746122165.6661776 
 01/07  05:00:00,36545657.73145594,746122165.6661776 
 01/07  06:00:00,36545657.73145594,746122165.6661776 
 01/07  07:00:00,88762776.67582561,941093873.7368754 
 01/07  08:00:00,93241581.92085226,941093873.7368754 
 01/07  09:00:00,258796860.5917543,1057793295.4182142 
 01/07  10:00:00,255395272.82382292,1057793295.4182142 
 01/07  11:00:00,255377965.44577354,1057793295.4182142 
 01/07  12:00:00,255377965.44577354,1057793295.4182142 
 01/07  13:00:00,127688982.72288677,882744162.896206 
 01/07  14:00:00,127688982.72288677,882744162.896206 
 01/07  15:00:00,127688982.72288677,882744162.896206 
 01/07  16:00:00,127910914.45807752,882744162.896206 
 01/07  17:00:00,130435901.70167187,882744162.896206 
 01/07  18:00:00,48264921.03486599,824394452.0555365 
 01/07  19:00:00,49438589.07487582,824394452.0555365 
 01/07  20:00:00,38694479.62202592,746122165.6661776 
 01/07  21:00:00,36545657.73145594,746122165.6661776 
 01/07  22:00:00,36545657.73145594,746122165.6661776 
 01/07  23:00:00,36545657.73145594,746122165.6661776 
 01/07  24:00:00,36545657.73145594,746122165.6661776 
 01/08  01:00:00,36545657.73145594,746122165.6661776 
 01/08  02:00:00,36545657.73145594,746122165.6661776 
 01/08  03:00:00,36545657.73145594,746122165.6661776 
 01/08  04:00:00,36545657.73145594,746122165.6661776 
 01/08  05:00:00,36545657.73145594,746122165.6661776 
 01/08  06:00:00,36545657.73145594,746122165.6661776 
 01/08  07:00:00,47289767.18430585,824394452.0555365 
 01/08  08:00:00,46950098.19350556,824394452.0555365 
 01/08  09:00:00,42908212.6624348,824394452.0555365 
 01/08  10:00:00,42559924.65578557,824394452.0555365 
 01/08  11:00:00,42559924.65578557,824394452.0555365 
 01/08  12:00:00,42559924.65578557,824394452.0555365 
 01/08  13:00:00,42559924.65578557,824394452.0555365 
 01/08  14:00:00,42559924.65578557,824394452.0555365 
 01/08  15:00:00,42559924.65578557,824394452.0555365 
 01/08  16:00:00,42601088.11259615,824394452.0555365 
 01/08  17:00:00,43456187.6118966,824394452.0555365 
 01/08  18:00:00,48238366.018855795,824394452.0555365 
 01/08  19:00:00,38694479.62202592,746122165.6661776 
 01/08  20:00:00,36545657.73145594,746122165.6661776 
 01/08  21:00:00,36545657.73145594,746122165.6661776 
 01/08  22:00:00,36545657.73145594,746122165.6661776 
 01/08  23:00:00,36545657.73145594,746122165.6661776 
 01/08  24:00:00,36545657.73145594,746122165.6661776 
 01/09  01:00:00,36545657.73145594,836730825.2177298 
 01/09  02:00:00,36545657.73145594,836730825.2177298 
 01/09  03:00:00,36545657.73145594,836730825.2177298 
 01/09  04:00:00,36545657.73145594,836730825.2177298 
 01/09  05:00:00,36545657.73145594,836730825.2177298 
 01/09  06:00:00,38137022.65685523,836730825.2177298 
 01/09  07:00:00,88762776.67582561,941093873.7368754 
 01/09  08:00:00,279701597.62704605,941093873.7368754 
 01/09  09:00:00,776247839.87391,1524590982.1435692 
 01/09  10:00:00,766184898.4164271,1524590982.1435692 
 01/09  11:00:00,766134049.2768176,1524590982.1435692 
 01/09  12:00:00,766134049.2768176,1524590982.1435692 
 01/09  13:00:00,766134049.2768176,1407891560.4622302 
 01/09  14:00:00,766134049.2768176,1524590982.1435692 
 01/09  15:00:00,766134049.2768176,1524590982.1435692 
 01/09  16:00:00,767240552.4710547,1524590982.1435692 
 01/09  17:00:00,782430808.5310755,1524590982.1435692 
 01/09  18:00:00,482209042.917909,1057793295.4182142 
 01/09  19:00:00,296653033.108991,941093873.7368754 
 01/09  20:00:00,296653033.108991,941093873.7368754 
 01/09  21:00:00,197765105.62937143,941093873.7368754 
 01/09  22:00:00,197765105.62937143,941093873.7368754 
 01/09  23:00:00,98887927.4796197,941093873.7368754 
 01/09  24:00:00,49438589.07487582,941093873.7368754 
 01/10  01:00:00,38694479.62202592,836730825.2177298 
 01/10  02:00:00,36545657.73145594,836730825.2177298 
 01/10  03:00:00,36545657.73145594,836730825.2177298 
 01/10  04:00:00,36545657.73145594,836730825.2177298 
 01/10  05:00:00,36545657.73145594,836730825.2177298 
 01/10  06:00:00,38137022.65685523,836730825.2177298 
 01/10  07:00:00,88762776.67582561,941093873.7368754 
 01/10  08:00:00,279662005.77238774,941093873.7368754 
 01/10  09:00:00,775257013.288705,1524590982.1435692 
 01/10  10:00:00,766182845.08073,1524590982.1435692 
 01/10  11:00:00,766134049.2768176,1524590982.1435692 
 01/10  12:00:00,766134049.2768176,1524590982.1435692 
 01/10  13:00:00,766134049.2768176,1407891560.4622302 
 01/10  14:00:00,766134049.2768176,1524590982.1435692 
 01/10  15:00:00,766134049.2768176,1524590982.1435692 
 01/10  16:00:00,766883166.4833168,1524590982.1435692 
 01/10  17:00:00,781996808.067428,1524590982.1435692 
 01/10  18:00:00,482105573.36442274,1057793295.4182142 
 01/10  19:00:00,296653033.108991,941093873.7368754 
 01/10  20:00:00,296653033.108991,941093873.7368754 
 01/10  21:00:00,197765105.62937143,941093873.7368754 
 01/10  22:00:00,197765105.62937143,941093873.7368754 
 01/10  23:00:00,98887927.4796197,941093873.7368754 
 01/10  24:00:00,49438589.07487582,941093873.7368754 
 01/11  01:00:00,38694479.62202592,836730825.2177298 
 01/11  02:00:00,36545657.73145594,836730825.2177298 
 01/11  03:00:00,36545657.73145594,836730825.2177298 
 01/11  04:00:00,36545657.73145594,836730825.2177298 
 01/11  05:00:00,36545657.73145594,836730825.2177298 
 01/11  06:00:00,38137022.65685523,836730825.2177298 
 01/11  07:00:00,88762776.67582561,941093873.7368754 
 01/11  08:00:00,279751881.87701404,941093873.7368754 
 01/11  09:00:00,776471477.7691035,1524590982.1435692 
 01/11  10:00:00,766186330.6813507,1524590982.1435692 
 01/11  11:00:00,766134049.2768176,1524590982.1435692 
 01/11  12:00:00,766134049.2768176,1524590982.1435692 
 01/11  13:00:00,766134049.2768176,1407891560.4622302 
 01/11  14:00:00,766134049.2768176,1524590982.1435692 
 01/11  15:00:00,766134049.2768176,1524590982.1435692 
 01/11  16:00:00,766880105.5555615,1524590982.1435692 
 01/11  17:00:00,781958347.6574492,1524590982.1435692 
 01/11  18:00:00,481908388.3206027,1057793295.4182142 
 01/11  19:00:00,296653033.108991,941093873.7368754 
 01/11  20:00:00,296653033.108991,941093873.7368754 
 01/11  21:00:00,197765105.62937143,941093873.7368754 
 01/11  22:00:00,197765105.62937143,941093873.7368754 
 01/11  23:00:00,98887927.4796197,941093873.7368754 
 01/11  24:00:00,49438589.07487582,941093873.7368754 
 01/12  01:00:00,38694479.62202592,836730825.2177298 
 01/12  02:00:00,36545657.73145594,836730825.2177298 
 01/12  03:00:00,36545657.73145594,836730825.2177298 
 01/12  04:00:00,36545657.73145594,836730825.2177298 
