Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly) 
 03/01  01:00:00,727714.9244065159 
 03/01  02:00:00,713408.5942692598 
 03/01  03:00:00,712865.182305995 
 03/01  04:00:00,708603.5631733252 
 03/01  05:00:00,711063.7633670582 
 03/01  06:00:00,737465.8418829512 
 03/01  07:00:00,821762.0170431398 
 03/01  08:00:00,811746.8806893093 
 03/01  09:00:00,828215.6641113363 
 03/01  10:00:00,840239.0599160182 
 03/01  11:00:00,788748.6422816591 
 03/01  12:00:00,814141.7867231937 
 03/01  13:00:00,820799.2248658581 
 03/01  14:00:00,835429.6724447166 
 03/01  15:00:00,831246.400335865 
 03/01  16:00:00,843301.0987260664 
 03/01  17:00:00,877254.0080169908 
 03/01  18:00:00,917035.3626684438 
 03/01  19:00:00,912045.8739892879 
 03/01  20:00:00,845743.4135106761 
 03/01  21:00:00,814840.2066880869 
 03/01  22:00:00,793763.2865537911 
 03/01  23:00:00,766566.2190483646 
 03/01  24:00:00,750138.8418416817 
 03/02  01:00:00,756145.6092502062 
 03/02  02:00:00,759641.2903461432 
 03/02  03:00:00,755606.5644984943 
 03/02  04:00:00,739586.8043545737 
 03/02  05:00:00,746940.7851507642 
 03/02  06:00:00,809224.3461126675 
 03/02  07:00:00,963948.3797469661 
 03/02  08:00:00,994829.7476584833 
 03/02  09:00:00,1353256.1804623837 
 03/02  10:00:00,1351394.057329294 
 03/02  11:00:00,1340056.2809603063 
 03/02  12:00:00,1370372.8284022177 
 03/02  13:00:00,1314220.4252188795 
 03/02  14:00:00,1397869.6987501867 
 03/02  15:00:00,1430374.0332622975 
 03/02  16:00:00,1471508.8570628462 
 03/02  17:00:00,1533682.2410380982 
 03/02  18:00:00,1204069.9587817483 
 03/02  19:00:00,1105646.4482632834 
 03/02  20:00:00,1062237.6659572173 
 03/02  21:00:00,1042569.4320896259 
 03/02  22:00:00,991386.043428867 
 03/02  23:00:00,831354.4211284794 
 03/02  24:00:00,795225.3087954605 
 03/03  01:00:00,748060.0115666882 
 03/03  02:00:00,743689.0653178081 
 03/03  03:00:00,745427.1617520037 
 03/03  04:00:00,730900.9732909306 
 03/03  05:00:00,729341.2773119962 
 03/03  06:00:00,806617.4772105203 
 03/03  07:00:00,961128.2334302589 
 03/03  08:00:00,1000703.3651873567 
 03/03  09:00:00,1369397.4019471493 
 03/03  10:00:00,1394072.9634403998 
 03/03  11:00:00,1399037.6733552145 
 03/03  12:00:00,1426354.3344156567 
 03/03  13:00:00,1367938.5770652026 
 03/03  14:00:00,1439649.1183434166 
 03/03  15:00:00,1506161.8997737768 
 03/03  16:00:00,1543689.130750999 
 03/03  17:00:00,1603057.746083946 
 03/03  18:00:00,1232073.9611414056 
 03/03  19:00:00,1160882.1603466657 
 03/03  20:00:00,1108724.6772555516 
 03/03  21:00:00,1066504.0915736286 
 03/03  22:00:00,1018130.8247394464 
 03/03  23:00:00,830281.7041082736 
 03/03  24:00:00,805295.7489860747 
 03/04  01:00:00,753770.042935097 
 03/04  02:00:00,749321.3498734982 
 03/04  03:00:00,750439.9525897802 
 03/04  04:00:00,749404.2744328716 
 03/04  05:00:00,746990.7436893167 
 03/04  06:00:00,826538.9435270975 
 03/04  07:00:00,981988.7861943585 
 03/04  08:00:00,1014083.585578729 
 03/04  09:00:00,1398796.1817975864 
 03/04  10:00:00,1415941.1931236887 
 03/04  11:00:00,1385209.3894224998 
 03/04  12:00:00,1431856.9378606377 
 03/04  13:00:00,1390398.9741572114 
 03/04  14:00:00,1435325.996597358 
 03/04  15:00:00,1484266.9869600346 
 03/04  16:00:00,1526548.5155559422 
 03/04  17:00:00,1556289.6835597493 
 03/04  18:00:00,1271161.536474499 
 03/04  19:00:00,1152144.4391436486 
 03/04  20:00:00,1086621.48880772 
 03/04  21:00:00,1033969.9070419231 
 03/04  22:00:00,997547.7921431158 
 03/04  23:00:00,832475.1232190924 
 03/04  24:00:00,794917.6160636987 
 03/05  01:00:00,758609.7090938347 
 03/05  02:00:00,752116.9793462822 
 03/05  03:00:00,749101.0072866295 
 03/05  04:00:00,744950.6335993848 
 03/05  05:00:00,746395.1699470264 
 03/05  06:00:00,819801.4131224359 
 03/05  07:00:00,982048.2141302093 
 03/05  08:00:00,1008479.3721197207 
 03/05  09:00:00,1383789.0218948566 
 03/05  10:00:00,1401077.7351386922 
 03/05  11:00:00,1426264.2264689698 
 03/05  12:00:00,1442374.7993878995 
 03/05  13:00:00,1350113.7932880914 
 03/05  14:00:00,1403244.7588891247 
 03/05  15:00:00,1415299.0190396796 
 03/05  16:00:00,1457292.5320290811 
 03/05  17:00:00,1495835.0367276426 
 03/05  18:00:00,1203583.656990391 
 03/05  19:00:00,1107074.6246828262 
 03/05  20:00:00,1060374.2791008202 
 03/05  21:00:00,1018499.4928449596 
 03/05  22:00:00,987609.8747800429 
 03/05  23:00:00,820771.8287024078 
 03/05  24:00:00,795780.6089507993 
 03/06  01:00:00,737749.8259348087 
 03/06  02:00:00,732441.4677831965 
 03/06  03:00:00,731872.7463602048 
 03/06  04:00:00,731381.1630446437 
 03/06  05:00:00,731350.1497266678 
 03/06  06:00:00,805691.6072248584 
 03/06  07:00:00,947075.8110017382 
 03/06  08:00:00,980465.0661698176 
 03/06  09:00:00,1346047.494741176 
 03/06  10:00:00,1349740.7324850156 
 03/06  11:00:00,1336530.6249116424 
 03/06  12:00:00,1387829.1808966894 
