Program Version:,EnergyPlus, Version 26.1.0-6f2e40d102, YMD=2026.07.23 10:11
Tabular Output Report in Format: ,Comma

Building:,OfficeLarge
Environment:,RUNPERIOD 1 ** New.Delhi-Gandhi.Intl.AP DL IND SRC-TMYx WMO#=421810

----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY TASKPURPOSE PROGRESSINDICATOR
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY CODENAME ASHRAE901
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY CODEYEAR 2019
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY CODEAMENDMENT NONEAMEND
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY PROTOTYPENAME OFFICELARGE
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY TASKSCOPE NATIONAL
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY STATE NATIONAL
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY CLIMATEZONE 1B
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


----------------------------------------------------------------------------------------------------
REPORT:,NAMEHOLDERMONTHLYSUMMARY REPRESENTCITY IND_DELHI_NEWDELHI
FOR:,Environment
Custom Monthly Report

,,SITE OUTDOOR AIR DRYBULB TEMPERATURE [C]
,January,-
,February,-
,March,23.544
,April,-
,May,-
,June,-
,July,-
,August,-
,September,-
,October,-
,November,-
,December,-
,,
,Annual Sum or Average,23.544
,Minimum of Months,23.544
,Maximum of Months,23.544


