Date/Time,Electricity:Facility [J](Hourly) 
 01/01  01:00:00,1308041866.4255345 
 01/01  02:00:00,1310529500.5176399 
 01/01  03:00:00,1317162172.2020504 
 01/01  04:00:00,1307960097.0998363 
 01/01  05:00:00,1300688421.607485 
 01/01  06:00:00,1365678664.8751156 
 01/01  07:00:00,1721139127.315605 
 01/01  08:00:00,1685868697.2886043 
 01/01  09:00:00,1651690619.699898 
 01/01  10:00:00,1531863087.2386856 
 01/01  11:00:00,1465943248.1424072 
 01/01  12:00:00,1661814932.3113468 
 01/01  13:00:00,1741786352.5038648 
 01/01  14:00:00,1782679757.9830744 
 01/01  15:00:00,1821560904.3589625 
 01/01  16:00:00,1783016539.993398 
 01/01  17:00:00,1943496137.5036213 
 01/01  18:00:00,2029286729.7721257 
 01/01  19:00:00,1891558978.4670744 
 01/01  20:00:00,1720917786.2096372 
 01/01  21:00:00,1690010847.5081506 
 01/01  22:00:00,1560361071.6675181 
 01/01  23:00:00,1450350296.4016922 
 01/01  24:00:00,1364490438.071126 
 01/02  01:00:00,1400120067.0238218 
 01/02  02:00:00,1397792697.2651248 
 01/02  03:00:00,1407048567.2047982 
 01/02  04:00:00,1418697198.3984687 
 01/02  05:00:00,1402256817.7924306 
 01/02  06:00:00,1537340414.8284812 
 01/02  07:00:00,2092461554.579926 
 01/02  08:00:00,2229873872.279443 
 01/02  09:00:00,3316887190.2854233 
 01/02  10:00:00,3209897080.1734533 
 01/02  11:00:00,3240031339.6867504 
 01/02  12:00:00,3360932993.2710233 
 01/02  13:00:00,3261761468.632892 
 01/02  14:00:00,3447749673.836728 
 01/02  15:00:00,3477893420.74024 
 01/02  16:00:00,3510821039.5064244 
 01/02  17:00:00,3687918300.0219293 
 01/02  18:00:00,2936781044.420747 
 01/02  19:00:00,2675846915.894806 
 01/02  20:00:00,2500777094.2732744 
 01/02  21:00:00,2335654288.99359 
 01/02  22:00:00,2191419836.898251 
 01/02  23:00:00,1712297329.0256224 
 01/02  24:00:00,1572181574.7650003 
 01/03  01:00:00,1398952813.4027066 
 01/03  02:00:00,1388018246.4030075 
 01/03  03:00:00,1381296295.1963885 
 01/03  04:00:00,1373891392.6917396 
 01/03  05:00:00,1371325106.188355 
 01/03  06:00:00,1516041072.1321793 
 01/03  07:00:00,2079155777.9970496 
 01/03  08:00:00,2201872422.8966165 
 01/03  09:00:00,3286129294.9852743 
 01/03  10:00:00,3182486148.0787773 
 01/03  11:00:00,3215300747.472357 
 01/03  12:00:00,3386233127.278036 
 01/03  13:00:00,3236219174.5342245 
 01/03  14:00:00,3392272759.792577 
 01/03  15:00:00,3447598946.228778 
 01/03  16:00:00,3496658424.1729603 
 01/03  17:00:00,3656215974.4752607 
 01/03  18:00:00,2911466853.92037 
 01/03  19:00:00,2600211628.938603 
 01/03  20:00:00,2361333903.187435 
 01/03  21:00:00,2213130488.03281 
 01/03  22:00:00,2101930305.2173302 
 01/03  23:00:00,1670116825.698491 
 01/03  24:00:00,1550566046.670654 
 01/04  01:00:00,1377772070.2174804 
 01/04  02:00:00,1371521452.8820434 
 01/04  03:00:00,1371384207.9839308 
 01/04  04:00:00,1370303348.1189218 
 01/04  05:00:00,1368890192.723116 
 01/04  06:00:00,1498060683.2666647 
 01/04  07:00:00,2077091363.904369 
 01/04  08:00:00,2196810578.626114 
 01/04  09:00:00,3278844916.517739 
 01/04  10:00:00,3167557517.5600157 
 01/04  11:00:00,3144744378.619708 
 01/04  12:00:00,3346904386.813833 
 01/04  13:00:00,3148510118.2775693 
 01/04  14:00:00,3277357162.4279103 
 01/04  15:00:00,3355835259.4152975 
 01/04  16:00:00,3352737952.3237567 
 01/04  17:00:00,3532300902.1057196 
 01/04  18:00:00,2853054593.4879847 
 01/04  19:00:00,2525584088.33386 
 01/04  20:00:00,2350482461.6034074 
 01/04  21:00:00,2210025936.030854 
 01/04  22:00:00,2106428674.118993 
 01/04  23:00:00,1684449368.7305255 
 01/04  24:00:00,1551765776.3316097 
 01/05  01:00:00,1375721515.585806 
 01/05  02:00:00,1371305888.4148588 
 01/05  03:00:00,1371345206.017236 
 01/05  04:00:00,1370810398.9563293 
 01/05  05:00:00,1369161999.2692578 
