Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,-13.125,-5.347731741767742,-5.599709543225249,-5.4352051459905635,-5.613364559265018,-5.413504683475813,-5.7350438501559236,16.23282944740793,498.1441324278221,0.0,16.750698379880987,95.27561323424288,0.0,16.999099100627202,11.976184061561582,0.0,16.746726549824256,89.36748968553633,0.0,17.00819198525303,12.888405461510274,0.07899541371091345,18.87065708188766,0.0,133.4770865885405,0.0,47.867744912218626,0.0,0.0,61.31594012185371,0.0,56.55828570176177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.867744912218626,59.83468114027329,0.0,0.0,7.22,7.22,0.0,0.0,61.142390189838125,0.0005349005083300917,7.22,0.0,15.980822874490132,0.002947441096674168,-5.301727825981766,17.179161576160773,0.3716780372933336,0.002947441096674168,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-13.125,0.005211769729655762,0.0010646521587386502,11.5,-13.125,0.005211769729655762,0.0010646521587386502,4.5,3330472.764781859,215404.85210498382 
 01/01  02:00:00,-17.125,-5.572528586833384,-5.597247326774228,-5.569884166321151,-5.603331779859082,-5.573983460479074,-5.7025060993368495,15.61752784737805,667.413468429831,0.0,16.699889824891066,297.8419876725422,0.0,16.724430917959875,28.544901673365132,3.0229920679761904,16.699588221160198,280.42897773297744,0.0,16.726103004076705,27.99473174493903,3.512055733229431,18.91264983575971,0.0,189.43288834723216,0.0,378.36449834182565,0.0,0.0,312.7327178213778,39.65403252568901,294.6615712094515,40.52726822519465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.36449834182565,472.955622927282,0.0,0.0,7.22,7.22,0.0,0.0,56.062875880052694,0.0033954519435943006,7.22,0.0,15.313309546399395,0.002839393941295148,-5.656379733864936,16.511886519035436,0.3716780372933336,0.002839393941295148,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-17.125,0.005211769729655762,0.0008469464154752874,11.5,-17.125,0.005211769729655762,0.0008469464154752874,4.5,3333141.179983257,1702640.2425382154 
 01/01  03:00:00,-15.787500000000001,-5.675725369248163,-5.6947608433421975,-5.722702558395368,-5.6945638060604225,-5.7281284782553685,-5.721336486554835,15.004338193576503,877.3848298510998,0.0,16.699939707533353,420.4578853999984,0.0,16.700008708855272,113.93227586836753,0.0,16.700444172785534,402.1450934079727,0.0,16.700230244174527,113.32299011061542,0.0,18.766131022256587,0.0,215.6313844087138,0.0,981.1086094981026,0.0,0.0,473.27097632146524,158.25681445146697,452.7393936378573,163.26939057417698,0.0,0.0,43.76932968272932,0.0,0.0,0.0,0.0,981.1086094981026,1226.3857618726283,0.0,0.0,7.22,7.22,0.0,0.0,47.336535939715844,0.006721782529812248,7.22,0.0,14.7181556098346,0.002818284261275582,-5.761947437591946,16.03336662065031,0.3716780372933336,0.002818284261275582,16.0,82.0,0.0,0.00023806195502087257,0.0,7.22,0.0,-15.787500000000001,0.005211769729655762,0.0009674091118965591,11.5,-15.787500000000001,0.005211769729655762,0.0009674091118965591,4.5,3336221.6317491867,4414988.742741462 
 01/01  04:00:00,-14.7375,-5.780706817078949,-5.802334271055049,-5.832455084383872,-5.800357304675196,-5.8362197953305825,-5.790542654785839,14.487078872820417,1061.8420895153945,0.0,16.700102206669992,476.6290970037158,0.0,16.699320052044783,151.17918394446872,0.0,16.699477078065403,456.5400285050335,0.0,16.69971650112142,151.2711074408532,0.0,18.653456296582203,0.0,209.40570752353113,0.0,1639.5642030773677,0.0,0.0,532.1332882981608,197.70494094136833,509.62421180183094,203.71009283153825,0.0,0.0,227.39764571909575,0.0,0.0,0.0,0.0,1639.5642030773677,2049.4552538467096,0.0,0.0,7.22,7.22,0.0,0.0,42.42987280236103,0.009908848332097587,7.22,0.0,14.195165027726592,0.0028016158037935807,-5.8620076953827445,15.9995534472237,0.3716780372933336,0.0028016158037935807,16.0,82.0,0.0,0.0014187978719354638,0.0,7.22,0.0,-14.7375,0.005211769729655762,0.001118238856790453,11.5,-14.7375,0.005211769729655762,0.001118238856790453,4.5,3339166.510884646,7378038.913848154 
 01/01  05:00:00,-13.525,-5.834277004455988,-5.8576991854927,-5.884461771875792,-5.8553985484913085,-5.887490510753738,-5.828936425744182,14.099757086985505,1200.2956220700744,0.0,16.700415725241392,482.42493119839037,0.0,16.699933455854794,160.3668712183637,0.0,16.6998876191698,461.71085896348654,0.0,16.700752692050184,160.4422631620414,0.0,18.570689868091776,0.0,202.85295515451782,0.0,2104.917882319393,0.0,0.0,537.936597490997,206.9175002864128,514.8094591401723,212.9408459532628,0.0,0.0,377.10998785020655,0.0,0.0,0.0,0.0,2104.917882319393,2631.147352899241,0.0,0.0,7.22,7.22,0.0,0.0,46.61189499693868,0.014290065709626765,7.22,0.0,13.796539623591922,0.002787489821310117,-5.910021476478621,15.999779020404668,0.3716780372933336,0.002787489821310117,16.0,82.0,0.0,0.002564454357385372,0.0,7.22,0.0,-13.525,0.005211769729655762,0.0012392509228012247,11.5,-13.525,0.005211769729655762,0.0012392509228012247,4.5,3343256.182200022,9472130.470437268 
 01/01  06:00:00,-11.812500000000002,-5.910957732578694,-5.933358591253657,-5.956141167009548,-5.931197980347832,-5.958618819852124,-5.898830287570762,13.839395645815395,1292.8461488075347,0.0,16.69984329041753,439.4908142265216,0.0,16.699913411463882,146.7534345471538,0.0,16.699541160196052,419.3563937369508,0.0,16.70010271053597,146.8519803352944,0.0,18.51235469855601,0.0,198.23532240915057,0.0,2050.1351788019765,0.0,0.0,494.9494292568858,193.29393762767785,472.4214375926156,199.2918184869776,0.0,0.0,475.72384754184657,0.0,0.0,0.0,0.0,2050.1351788019765,2562.668973502471,0.0,0.0,7.22,7.22,0.0,0.0,53.45998926980966,0.017208519746884504,7.22,0.0,13.533931594150502,0.0027763068612579943,-5.9757015287126904,15.999909427222809,0.3716780372933336,0.0027763068612579943,16.0,82.0,0.0,0.003401700508803444,0.0,7.22,0.0,-11.812500000000002,0.005211769729655762,0.0014479452529426698,11.5,-11.812500000000002,0.005211769729655762,0.0014479452529426698,4.5,3346018.426743854,9225608.304608896 
 01/01  07:00:00,-10.224999999999998,-6.864532937967371,-7.433974609830388,-8.281182249241668,-7.3840858422575035,-8.44053058144225,-6.817435833438475,14.2169724927901,2227.251589280927,0.0,19.9468680516948,3384.5915829296423,0.0,20.320626413065597,1665.6419986288724,0.0,19.88718283905358,3272.0130995179925,0.0,20.33596117130531,1670.9224003879553,0.0,20.661816498174723,2761.3546318757526,0.0,0.0,21755.965028606348,0.0,0.0,3736.2034688363824,1987.1610186298967,3603.985323622004,2034.4864499104033,3167.7475094461606,3867.4075148075344,2575.7725476069572,0.0,0.0,0.0,0.0,21457.761242340854,26822.201552926068,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,71.25161598942837,0.48237695958831384,7.219999999999999,0.0,7.386014239488128,0.0019318634313928585,-10.135245645432919,15.458773533887115,0.3716780372933336,0.0019318634313928585,16.0,81.85518046156315,0.06456928851027662,0.0566326028313598,0.0,7.219999999999999,0.0,4.499973962664473,0.2605884864827881,0.0016379806390302211,11.5,4.499973962664473,0.2605884864827881,0.0016379806390302211,4.5,3784097.727119198,96559925.59053385 
 01/01  08:00:00,-8.45,-8.711754100718966,-9.095574100074312,-9.793203831888645,-9.033708545149842,-9.859979092188816,-8.151339431691934,15.013325599103599,2544.853108737896,0.0,21.549667572237865,3271.7493064979626,0.0,21.984680895979132,1467.9778741397845,0.0,21.491288286484796,3163.863730534982,0.0,21.961775489607554,1532.6494158940811,0.0,21.82680605874711,2684.6780592008954,0.0,0.0,20210.18607801193,0.0,0.0,3735.431298186463,1886.6553477634325,3603.222653944345,2002.6071388218757,3167.3659643910632,3402.521746397758,2576.585734089118,0.0,0.0,0.0,0.0,20210.18607801193,25262.732597514914,0.0,0.0,7.22,7.22,0.0,0.0,71.47844273959574,0.4583056096050251,7.22,0.0,7.603183704540622,0.0019749706662436383,-9.902177634809956,15.677470774111937,0.3716780372933336,0.0019749706662436383,16.0,82.0,0.0485070087806405,0.05663260283135979,0.0,7.22,0.0,4.4997335976728925,0.2605884864827881,0.0018585551090133075,11.5,4.4997335976728925,0.2605884864827881,0.0018585551090133075,4.5,3761494.8119306546,90945837.35105368 
 01/01  09:00:00,-6.575000000000001,-7.364589013737412,-5.167495649246459,-5.845039541418285,-5.112762974062155,-6.00473887873166,-4.309746081766487,16.281993871788995,3560.21271954826,0.0,22.19973892153213,1560.4839431648168,0.0,22.20152225714994,266.5632227825604,32.58516238564346,22.199646116043215,1469.2161741127757,0.0,22.201319578230038,605.9483649495003,0.0,22.199749939202313,125.9110024216011,128.5587254157378,0.0,11276.421637869966,0.0,0.0,2053.5742987396916,648.9741971053239,1941.2297797975143,1073.065559787522,489.96775800219115,2911.398058466138,2551.1557981726696,0.0,0.0,0.0,0.0,11276.421637869966,14095.527047337458,0.0,0.0,7.22,7.22,0.0,0.0,63.70495569262153,0.14878204918894503,7.22,0.0,7.948445479791541,0.0021857298341666624,-8.766895549906229,15.951792332494028,0.3716780372933336,0.0021857298341666624,16.0,82.0,0.03574313124928869,0.05547934804196437,0.0,7.22,0.0,4.499907459085787,0.2605884864827881,0.002135243165819406,11.5,4.499907459085787,0.2605884864827881,0.002135243165819406,4.5,33259453.01278481,50743897.370414846 
 01/01  10:00:00,-3.5875000000000004,-2.628947398745721,-1.211282899882485,-2.6832924724876883,-1.0952839054739396,-3.0868387580271133,0.45112686656980405,17.449995884853337,3312.0710180630813,0.0,22.200896385166736,153.25798053540547,96.50819842199311,23.1749816908871,0.0,485.68209436151517,22.201831372135587,196.34050128602064,16.464353222890935,22.201535248555135,70.80784620302165,13.16978884755028,22.96904983251804,0.0,551.8721694746281,0.0,6257.656569072656,0.0,0.0,548.1450006835834,0.0,649.9967437110064,522.0828289909,0.0,2127.196280395908,2428.657832818822,0.0,0.0,0.0,0.0,6257.656569072656,7822.070711340819,0.0,0.0,7.22,7.22,0.0,0.0,63.28019146594026,0.0797491690172171,7.22,0.0,8.348298747397697,0.0027664581883740194,-6.088321427490973,15.998222206936063,0.37265096704334344,0.0027664581883740194,16.0,82.0,0.021403312290117847,0.04807390369851705,0.0,7.22,0.0,4.499999824521856,0.2605884864827881,0.0024317641127699413,11.5,4.499999824521856,0.2605884864827881,0.0024317641127699413,4.5,43545380.42974843,28159454.56082695 
