Date/Time,Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,1316675657.9007823,36545657.73145594,746122165.6661776 
 01/01  02:00:00,1321419427.6368718,36545657.73145594,746122165.6661776 
 01/01  03:00:00,1312938710.9156091,36545657.73145594,746122165.6661776 
 01/01  04:00:00,1305203240.2112637,36545657.73145594,746122165.6661776 
 01/01  05:00:00,1303439598.0102346,36545657.73145594,746122165.6661776 
 01/01  06:00:00,1374256691.6565523,36545657.73145594,746122165.6661776 
 01/01  07:00:00,1730923931.133008,47289767.18430585,824394452.0555365 
 01/01  08:00:00,1682054397.90765,46566726.65646302,824394452.0555365 
 01/01  09:00:00,1648749644.949874,43072650.04700511,824394452.0555365 
 01/01  10:00:00,1534791187.5250204,42562756.778707296,824394452.0555365 
 01/01  11:00:00,1480615599.0116887,42559924.65578557,824394452.0555365 
 01/01  12:00:00,1666567589.5341089,42559924.65578557,824394452.0555365 
 01/01  13:00:00,1760580178.5784721,42559924.65578557,824394452.0555365 
 01/01  14:00:00,1805394680.1476328,42559924.65578557,824394452.0555365 
 01/01  15:00:00,1834833260.5392904,42559924.65578557,824394452.0555365 
 01/01  16:00:00,1798959340.9311817,42649336.63940403,824394452.0555365 
 01/01  17:00:00,1978461806.381961,43708954.8400367,824394452.0555365 
 01/01  18:00:00,1916254593.484848,48362016.69552845,824394452.0555365 
 01/01  19:00:00,1865565118.0362592,38694479.62202592,746122165.6661776 
 01/01  20:00:00,1742710286.38309,36545657.73145594,746122165.6661776 
 01/01  21:00:00,1677983132.6329913,36545657.73145594,746122165.6661776 
 01/01  22:00:00,1582054444.7842014,36545657.73145594,746122165.6661776 
 01/01  23:00:00,1437668907.5707004,36545657.73145594,746122165.6661776 
 01/01  24:00:00,1368085860.0915847,36545657.73145594,746122165.6661776 
 01/02  01:00:00,1417385117.7204409,36545657.73145594,836730825.2177298 
 01/02  02:00:00,1406806148.0001314,36545657.73145594,836730825.2177298 
 01/02  03:00:00,1405182399.960752,36545657.73145594,836730825.2177298 
 01/02  04:00:00,1411722373.7376714,36545657.73145594,836730825.2177298 
 01/02  05:00:00,1414056605.817866,36545657.73145594,836730825.2177298 
 01/02  06:00:00,1552300830.2285664,38137022.65685523,836730825.2177298 
 01/02  07:00:00,2103228828.906876,88762776.67582561,941093873.7368754 
 01/02  08:00:00,2240345549.1710873,279646257.7145797,941093873.7368754 
 01/02  09:00:00,3332986802.863174,776464567.441367,1524590982.1435692 
 01/02  10:00:00,3250351149.5623693,766187918.2276132,1524590982.1435692 
 01/02  11:00:00,3282018097.524773,766134049.2768176,1524590982.1435692 
 01/02  12:00:00,3405680413.6426477,766134049.2768176,1524590982.1435692 
 01/02  13:00:00,3290437394.771994,766134049.2768176,1407891560.4622302 
 01/02  14:00:00,3494122454.2366576,766134049.2768176,1524590982.1435692 
 01/02  15:00:00,3529965865.20462,766134049.2768176,1524590982.1435692 
 01/02  16:00:00,3571482953.369757,767677269.4241564,1524590982.1435692 
 01/02  17:00:00,3752783709.7339234,785581345.6160247,1524590982.1435692 
 01/02  18:00:00,2952260256.579936,483278424.40618616,1057793295.4182142 
 01/02  19:00:00,2689140707.7048664,296653033.108991,941093873.7368754 
 01/02  20:00:00,2521204692.128872,296653033.108991,941093873.7368754 
 01/02  21:00:00,2356114939.7045307,197765105.62937143,941093873.7368754 
 01/02  22:00:00,2211270628.268175,197765105.62937143,941093873.7368754 
 01/02  23:00:00,1715328087.473435,98887927.4796197,941093873.7368754 
 01/02  24:00:00,1575034431.716643,49438589.07487582,941093873.7368754 
 01/03  01:00:00,1401870624.0750546,38694479.62202592,836730825.2177298 
 01/03  02:00:00,1390819266.632556,36545657.73145594,836730825.2177298 
 01/03  03:00:00,1384019055.522028,36545657.73145594,836730825.2177298 
 01/03  04:00:00,1375894126.4479027,36545657.73145594,836730825.2177298 
 01/03  05:00:00,1373302386.2176225,36545657.73145594,836730825.2177298 
 01/03  06:00:00,1521738376.1015437,38137022.65685523,836730825.2177298 
 01/03  07:00:00,2089612957.4795532,88762776.67582561,941093873.7368754 
 01/03  08:00:00,2210608093.1857977,279633605.7481395,941093873.7368754 
 01/03  09:00:00,3306918560.6310873,776316896.3826163,1524590982.1435692 
 01/03  10:00:00,3225431119.1241474,766185691.1926992,1524590982.1435692 
 01/03  11:00:00,3268364301.810225,766134049.2768176,1524590982.1435692 
 01/03  12:00:00,3437814773.314445,766134049.2768176,1524590982.1435692 
 01/03  13:00:00,3267734695.2005086,766134049.2768176,1407891560.4622302 
 01/03  14:00:00,3442699530.5948243,766134049.2768176,1524590982.1435692 
 01/03  15:00:00,3505001266.023609,766134049.2768176,1524590982.1435692 
 01/03  16:00:00,3562692793.60061,767677295.3575858,1524590982.1435692 
 01/03  17:00:00,3722603849.530955,785558887.5715864,1524590982.1435692 
 01/03  18:00:00,2933414281.388588,483237718.91769034,1057793295.4182142 
 01/03  19:00:00,2622471084.3131113,296653033.108991,941093873.7368754 
 01/03  20:00:00,2382226706.8929205,296653033.108991,941093873.7368754 
 01/03  21:00:00,2232527858.8633456,197765105.62937143,941093873.7368754 
 01/03  22:00:00,2120781631.3531833,197765105.62937143,941093873.7368754 
 01/03  23:00:00,1672875624.5035126,98887927.4796197,941093873.7368754 
 01/03  24:00:00,1553304430.9186654,49438589.07487582,941093873.7368754 
 01/04  01:00:00,1380235236.1071987,38694479.62202592,836730825.2177298 
 01/04  02:00:00,1373573054.9302824,36545657.73145594,836730825.2177298 
 01/04  03:00:00,1373417143.3030555,36545657.73145594,836730825.2177298 
 01/04  04:00:00,1372318071.2221744,36545657.73145594,836730825.2177298 
 01/04  05:00:00,1370869997.5272129,36545657.73145594,836730825.2177298 
 01/04  06:00:00,1512980774.8280482,38137022.65685523,836730825.2177298 
 01/04  07:00:00,2088873202.8977606,88762776.67582561,941093873.7368754 
 01/04  08:00:00,2205430235.908326,279666506.59585273,941093873.7368754 
 01/04  09:00:00,3299369940.0030456,776483887.7921437,1524590982.1435692 
 01/04  10:00:00,3198829579.548536,766187374.0659232,1524590982.1435692 
 01/04  11:00:00,3202750245.971847,766134049.2768176,1524590982.1435692 
 01/04  12:00:00,3394367073.432021,766134049.2768176,1524590982.1435692 
 01/04  13:00:00,3188609988.353589,766134049.2768176,1407891560.4622302 
 01/04  14:00:00,3328042635.9369154,766134049.2768176,1524590982.1435692 
 01/04  15:00:00,3397031900.58258,766134049.2768176,1524590982.1435692 
 01/04  16:00:00,3404395421.8849955,768061171.841798,1524590982.1435692 
 01/04  17:00:00,3583829663.9148235,786479873.9363433,1524590982.1435692 
 01/04  18:00:00,2879223398.1332126,485740941.4852057,1057793295.4182142 
 01/04  19:00:00,2548041472.4718575,296653033.108991,941093873.7368754 
 01/04  20:00:00,2371082631.3885903,296653033.108991,941093873.7368754 
 01/04  21:00:00,2229665601.715481,197765105.62937143,941093873.7368754 
 01/04  22:00:00,2125362701.340145,197765105.62937143,941093873.7368754 
 01/04  23:00:00,1687502291.1236768,98887927.4796197,941093873.7368754 
 01/04  24:00:00,1554655552.6602576,49438589.07487582,941093873.7368754 
 01/05  01:00:00,1378016865.998862,38694479.62202592,836730825.2177298 
 01/05  02:00:00,1373425937.6738956,36545657.73145594,836730825.2177298 
 01/05  03:00:00,1373444820.7601347,36545657.73145594,836730825.2177298 
 01/05  04:00:00,1372886869.6949828,36545657.73145594,836730825.2177298 
 01/05  05:00:00,1371200721.0227292,36545657.73145594,836730825.2177298 
 01/05  06:00:00,1505471693.611096,38137022.65685523,836730825.2177298 
 01/05  07:00:00,2086392813.7842145,88762776.67582561,941093873.7368754 
 01/05  08:00:00,2204670481.629897,279697038.1852708,941093873.7368754 
 01/05  09:00:00,3304701315.331099,776566353.1916863,1524590982.1435692 
 01/05  10:00:00,3273017086.018655,766187812.2595317,1524590982.1435692 
 01/05  11:00:00,3259130553.9556236,766134049.2768176,1524590982.1435692 
 01/05  12:00:00,3384309890.573442,766134049.2768176,1524590982.1435692 
 01/05  13:00:00,3263594873.666617,766134049.2768176,1407891560.4622302 
 01/05  14:00:00,3480146167.379962,766134049.2768176,1524590982.1435692 
 01/05  15:00:00,3533651576.9437747,766134049.2768176,1524590982.1435692 
