Date/Time,Electricity:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,1308041866.4255345,26211168.0 
 01/01  02:00:00,1310529500.5176399,26211168.0 
 01/01  03:00:00,1317162172.2020504,26211168.0 
 01/01  04:00:00,1307960097.0998363,26211168.0 
 01/01  05:00:00,1300688421.607485,26211168.0 
 01/01  06:00:00,1365678664.8751156,26211168.0 
 01/01  07:00:00,1721139127.315605,51137882.50181318 
 01/01  08:00:00,1685868697.2886043,38353892.02021739 
 01/01  09:00:00,1651690619.699898,38433904.153975114 
 01/01  10:00:00,1531863087.2386856,50440548.90114816 
 01/01  11:00:00,1465943248.1424072,38387161.22935647 
 01/01  12:00:00,1661814932.3113468,38473488.876961894 
 01/01  13:00:00,1741786352.5038648,50984531.768950045 
 01/01  14:00:00,1782679757.9830744,51530050.983602345 
 01/01  15:00:00,1821560904.3589625,50898352.41333159 
 01/01  16:00:00,1783016539.993398,38292402.51325911 
 01/01  17:00:00,1943496137.5036213,38399155.85260437 
 01/01  18:00:00,2029286729.7721257,50528464.12667848 
 01/01  19:00:00,1891558978.4670744,38243045.714480944 
 01/01  20:00:00,1720917786.2096372,38345998.08185256 
 01/01  21:00:00,1690010847.5081506,38426864.62352528 
 01/01  22:00:00,1560361071.6675181,51092710.46948467 
 01/01  23:00:00,1450350296.4016922,38392005.83714495 
 01/01  24:00:00,1364490438.071126,38360950.00747236 
 01/02  01:00:00,1400120067.0238218,26211168.0 
 01/02  02:00:00,1397792697.2651248,26211168.0 
 01/02  03:00:00,1407048567.2047982,37892263.67452186 
 01/02  04:00:00,1418697198.3984687,26211168.0 
 01/02  05:00:00,1402256817.7924306,26211168.0 
 01/02  06:00:00,1537340414.8284812,42878122.21016078 
 01/02  07:00:00,2092461554.579926,584628702.2570843 
 01/02  08:00:00,2229873872.279443,508516240.0259615 
 01/02  09:00:00,3316887190.2854233,329438280.3279103 
 01/02  10:00:00,3209897080.1734533,221736796.44079363 
 01/02  11:00:00,3240031339.6867504,163389473.41830313 
 01/02  12:00:00,3360932993.2710233,173719956.2222575 
 01/02  13:00:00,3261761468.632892,208094044.18449473 
 01/02  14:00:00,3447749673.836728,190455973.9440515 
 01/02  15:00:00,3477893420.74024,138841856.1326599 
 01/02  16:00:00,3510821039.5064244,137307822.7507137 
 01/02  17:00:00,3687918300.0219293,155651465.92333558 
 01/02  18:00:00,2936781044.420747,111831505.59585166 
 01/02  19:00:00,2675846915.894806,96475328.6056681 
 01/02  20:00:00,2500777094.2732744,81156177.83440885 
 01/02  21:00:00,2335654288.99359,84580592.10386324 
 01/02  22:00:00,2191419836.898251,57135779.49980901 
 01/02  23:00:00,1712297329.0256224,38313187.76191478 
 01/02  24:00:00,1572181574.7650003,50675395.26414161 
 01/03  01:00:00,1398952813.4027066,26211168.0 
 01/03  02:00:00,1388018246.4030075,26211168.0 
 01/03  03:00:00,1381296295.1963885,26211168.0 
 01/03  04:00:00,1373891392.6917396,26211168.0 
 01/03  05:00:00,1371325106.188355,26211168.0 
 01/03  06:00:00,1516041072.1321793,99153523.77404167 
 01/03  07:00:00,2079155777.9970496,548481339.2446995 
 01/03  08:00:00,2201872422.8966165,684809634.7887244 
 01/03  09:00:00,3286129294.9852743,484447674.1356287 
 01/03  10:00:00,3182486148.0787773,256946112.52945322 
 01/03  11:00:00,3215300747.472357,148036516.32931626 
 01/03  12:00:00,3386233127.278036,175515494.45159522 
 01/03  13:00:00,3236219174.5342245,200015395.55272174 
 01/03  14:00:00,3392272759.792577,205234924.66809863 
 01/03  15:00:00,3447598946.228778,125582516.01126683 
 01/03  16:00:00,3496658424.1729603,137166003.32716596 
 01/03  17:00:00,3656215974.4752607,170095709.41137516 
 01/03  18:00:00,2911466853.92037,100198027.82774843 
 01/03  19:00:00,2600211628.938603,96482438.8717313 
 01/03  20:00:00,2361333903.187435,81421477.5082112 
 01/03  21:00:00,2213130488.03281,85365008.85552698 
 01/03  22:00:00,2101930305.2173302,70180470.55252573 
 01/03  23:00:00,1670116825.698491,38383426.81378521 
 01/03  24:00:00,1550566046.670654,50653930.615323305 
 01/04  01:00:00,1377772070.2174804,26211168.0 
 01/04  02:00:00,1371521452.8820434,26211168.0 
 01/04  03:00:00,1371384207.9839308,26211168.0 
 01/04  04:00:00,1370303348.1189218,26211168.0 
 01/04  05:00:00,1368890192.723116,37893573.28748666 
 01/04  06:00:00,1498060683.2666647,114194006.07183458 
 01/04  07:00:00,2077091363.904369,681665359.7810555 
 01/04  08:00:00,2196810578.626114,665055570.5031737 
 01/04  09:00:00,3278844916.517739,449498104.5841646 
 01/04  10:00:00,3167557517.5600157,333749732.6264135 
 01/04  11:00:00,3144744378.619708,155721391.7455961 
 01/04  12:00:00,3346904386.813833,175561662.4254458 
 01/04  13:00:00,3148510118.2775693,213497509.98706675 
 01/04  14:00:00,3277357162.4279103,195710022.7394628 
 01/04  15:00:00,3355835259.4152975,138905570.7063315 
 01/04  16:00:00,3352737952.3237567,121415167.6078471 
 01/04  17:00:00,3532300902.1057196,169952744.6481103 
 01/04  18:00:00,2853054593.4879847,115008630.63362552 
 01/04  19:00:00,2525584088.33386,86485630.95081814 
 01/04  20:00:00,2350482461.6034074,78527211.80282551 
 01/04  21:00:00,2210025936.030854,84498136.71499951 
 01/04  22:00:00,2106428674.118993,64432764.87039408 
 01/04  23:00:00,1684449368.7305255,50841750.8391994 
 01/04  24:00:00,1551765776.3316097,38291438.88736599 
