Date/Time,InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 03/01  01:00:00,36545657.73145594,1597820222.8892183 
 03/01  02:00:00,36545657.73145594,1597820222.8892183 
 03/01  03:00:00,36545657.73145594,1597820222.8892183 
 03/01  04:00:00,36545657.73145594,1597820222.8892183 
 03/01  05:00:00,36545657.73145594,1597820222.8892183 
 03/01  06:00:00,36545657.73145594,1597820222.8892183 
 03/01  07:00:00,46802344.39718048,1676092509.2785773 
 03/01  08:00:00,44215135.81262817,1676092509.2785773 
 03/01  09:00:00,42625227.41420011,1676092509.2785773 
 03/01  10:00:00,42559924.65578557,1676092509.2785773 
 03/01  11:00:00,42559924.65578557,1676092509.2785773 
 03/01  12:00:00,42559924.65578557,1676092509.2785773 
 03/01  13:00:00,42559924.65578557,1676092509.2785773 
 03/01  14:00:00,42559924.65578557,1676092509.2785773 
 03/01  15:00:00,42559924.65578557,1676092509.2785773 
 03/01  16:00:00,42559924.65578557,1676092509.2785773 
 03/01  17:00:00,42654630.053606376,1676092509.2785773 
 03/01  18:00:00,43980895.48584952,1676092509.2785773 
 03/01  19:00:00,38360578.06399967,1597820222.8892183 
 03/01  20:00:00,36545657.73145594,1597820222.8892183 
 03/01  21:00:00,36545657.73145594,1597820222.8892183 
 03/01  22:00:00,36545657.73145594,1597820222.8892183 
 03/01  23:00:00,36545657.73145594,1597820222.8892183 
 03/01  24:00:00,36545657.73145594,1597820222.8892183 
 03/02  01:00:00,36545657.73145594,1688428882.4407709 
 03/02  02:00:00,36545657.73145594,1688428882.4407709 
 03/02  03:00:00,36545657.73145594,1688428882.4407709 
 03/02  04:00:00,36545657.73145594,1688428882.4407709 
 03/02  05:00:00,36545657.73145594,1688428882.4407709 
 03/02  06:00:00,38137022.65685523,1688428882.4407709 
 03/02  07:00:00,87772828.53161374,1792791930.9599159 
 03/02  08:00:00,264624882.10641724,1792791930.9599159 
 03/02  09:00:00,767632412.3423285,2376289039.36661 
 03/02  10:00:00,766134049.2768176,2376289039.36661 
 03/02  11:00:00,766134049.2768176,2376289039.36661 
 03/02  12:00:00,766134049.2768176,2376289039.36661 
 03/02  13:00:00,766134049.2768176,2259589617.685271 
 03/02  14:00:00,766134049.2768176,2376289039.36661 
 03/02  15:00:00,766134049.2768176,2376289039.36661 
 03/02  16:00:00,766134049.2768176,2376289039.36661 
 03/02  17:00:00,767603973.3579494,2376289039.36661 
 03/02  18:00:00,439312496.00194573,1909491352.6412544 
 03/02  19:00:00,293916298.6387421,1792791930.9599159 
 03/02  20:00:00,296653033.108991,1792791930.9599159 
 03/02  21:00:00,197765105.62937143,1792791930.9599159 
 03/02  22:00:00,197765105.62937143,1792791930.9599159 
 03/02  23:00:00,98887927.4796197,1792791930.9599159 
 03/02  24:00:00,49438589.07487582,1792791930.9599159 
 03/03  01:00:00,38694479.62202592,1688428882.4407709 
 03/03  02:00:00,36545657.73145594,1688428882.4407709 
 03/03  03:00:00,36545657.73145594,1688428882.4407709 
 03/03  04:00:00,36545657.73145594,1688428882.4407709 
 03/03  05:00:00,36545657.73145594,1688428882.4407709 
 03/03  06:00:00,38137022.65685523,1688428882.4407709 
 03/03  07:00:00,87149923.72122733,1792791930.9599159 
 03/03  08:00:00,263825887.75742304,1792791930.9599159 
 03/03  09:00:00,767197096.3289652,2376289039.36661 
 03/03  10:00:00,766134049.2768176,2376289039.36661 
 03/03  11:00:00,766134049.2768176,2376289039.36661 
 03/03  12:00:00,766134049.2768176,2376289039.36661 
 03/03  13:00:00,766134049.2768176,2259589617.685271 
 03/03  14:00:00,766134049.2768176,2376289039.36661 
 03/03  15:00:00,766134049.2768176,2376289039.36661 
 03/03  16:00:00,766134049.2768176,2376289039.36661 
 03/03  17:00:00,767222646.9915848,2376289039.36661 
 03/03  18:00:00,438450515.91068447,1909491352.6412544 
 03/03  19:00:00,293770899.9034153,1792791930.9599159 
 03/03  20:00:00,296653033.108991,1792791930.9599159 
 03/03  21:00:00,197765105.62937143,1792791930.9599159 
 03/03  22:00:00,197765105.62937143,1792791930.9599159 
 03/03  23:00:00,98887927.4796197,1792791930.9599159 
 03/03  24:00:00,49438589.07487582,1792791930.9599159 
 03/04  01:00:00,38694479.62202592,1688428882.4407709 
 03/04  02:00:00,36545657.73145594,1688428882.4407709 
 03/04  03:00:00,36545657.73145594,1688428882.4407709 
 03/04  04:00:00,36545657.73145594,1688428882.4407709 
 03/04  05:00:00,36545657.73145594,1688428882.4407709 
 03/04  06:00:00,38137022.65685523,1688428882.4407709 
 03/04  07:00:00,87013632.22091621,1792791930.9599159 
 03/04  08:00:00,261894482.3383196,1792791930.9599159 
 03/04  09:00:00,766394621.6028612,2376289039.36661 
 03/04  10:00:00,766134049.2768176,2376289039.36661 
 03/04  11:00:00,766134049.2768176,2376289039.36661 
 03/04  12:00:00,766134049.2768176,2376289039.36661 
 03/04  13:00:00,766134049.2768176,2259589617.685271 
 03/04  14:00:00,766134049.2768176,2376289039.36661 
 03/04  15:00:00,766134049.2768176,2376289039.36661 
 03/04  16:00:00,766134049.2768176,2376289039.36661 
 03/04  17:00:00,766439665.5730494,2376289039.36661 
 03/04  18:00:00,435808658.5285656,1909491352.6412544 
 03/04  19:00:00,293619680.064676,1792791930.9599159 
 03/04  20:00:00,296653033.108991,1792791930.9599159 
 03/04  21:00:00,197765105.62937143,1792791930.9599159 
 03/04  22:00:00,197765105.62937143,1792791930.9599159 
 03/04  23:00:00,98887927.4796197,1792791930.9599159 
 03/04  24:00:00,49438589.07487582,1792791930.9599159 
 03/05  01:00:00,38694479.62202592,1688428882.4407709 
 03/05  02:00:00,36545657.73145594,1688428882.4407709 
 03/05  03:00:00,36545657.73145594,1688428882.4407709 
 03/05  04:00:00,36545657.73145594,1688428882.4407709 
 03/05  05:00:00,36545657.73145594,1688428882.4407709 
 03/05  06:00:00,38137022.65685523,1688428882.4407709 
 03/05  07:00:00,86940936.88677737,1792791930.9599159 
 03/05  08:00:00,261376924.3339753,1792791930.9599159 
 03/05  09:00:00,766478185.391823,2376289039.36661 
 03/05  10:00:00,766134049.2768176,2376289039.36661 
 03/05  11:00:00,766134049.2768176,2376289039.36661 
 03/05  12:00:00,766134049.2768176,2376289039.36661 
 03/05  13:00:00,766134049.2768176,2259589617.685271 
 03/05  14:00:00,766134049.2768176,2376289039.36661 
 03/05  15:00:00,766134049.2768176,2376289039.36661 
 03/05  16:00:00,766134049.2768176,2376289039.36661 
 03/05  17:00:00,767163198.0361862,2376289039.36661 
 03/05  18:00:00,438140901.8487428,1909491352.6412544 
 03/05  19:00:00,293738948.8446196,1792791930.9599159 
 03/05  20:00:00,296653033.108991,1792791930.9599159 
 03/05  21:00:00,197765105.62937143,1792791930.9599159 
 03/05  22:00:00,197765105.62937143,1792791930.9599159 
 03/05  23:00:00,98887927.4796197,1792791930.9599159 
 03/05  24:00:00,49438589.07487582,1792791930.9599159 
 03/06  01:00:00,38694479.62202592,1688428882.4407709 
 03/06  02:00:00,36545657.73145594,1688428882.4407709 
 03/06  03:00:00,36545657.73145594,1688428882.4407709 
 03/06  04:00:00,36545657.73145594,1688428882.4407709 
 03/06  05:00:00,36545657.73145594,1688428882.4407709 
 03/06  06:00:00,38137022.65685523,1688428882.4407709 
 03/06  07:00:00,86900584.72332418,1792791930.9599159 
 03/06  08:00:00,261374032.0866911,1792791930.9599159 
 03/06  09:00:00,766467641.1615605,2376289039.36661 
 03/06  10:00:00,766134049.2768176,2376289039.36661 
 03/06  11:00:00,766134049.2768176,2376289039.36661 
 03/06  12:00:00,766134049.2768176,2376289039.36661 
 03/06  13:00:00,766134049.2768176,2259589617.685271 
 03/06  14:00:00,766134049.2768176,2376289039.36661 
 03/06  15:00:00,766134049.2768176,2376289039.36661 
 03/06  16:00:00,766134049.2768176,2376289039.36661 
 03/06  17:00:00,767106580.0690413,2376289039.36661 
 03/06  18:00:00,437860254.7954177,1909491352.6412544 
 03/06  19:00:00,292296932.4842969,1792791930.9599159 
 03/06  20:00:00,296653033.108991,1792791930.9599159 
 03/06  21:00:00,197765105.62937143,1792791930.9599159 
 03/06  22:00:00,197765105.62937143,1792791930.9599159 
 03/06  23:00:00,98887927.4796197,1792791930.9599159 
 03/06  24:00:00,49438589.07487582,1792791930.9599159 
 03/07  01:00:00,38694479.62202592,1597820222.8892183 
 03/07  02:00:00,36545657.73145594,1597820222.8892183 
 03/07  03:00:00,36545657.73145594,1597820222.8892183 
 03/07  04:00:00,36545657.73145594,1597820222.8892183 
 03/07  05:00:00,36545657.73145594,1597820222.8892183 
 03/07  06:00:00,36545657.73145594,1597820222.8892183 
 03/07  07:00:00,86846985.6669536,1792791930.9599159 
 03/07  08:00:00,87078356.76265271,1792791930.9599159 
 03/07  09:00:00,255490363.03015208,1909491352.6412544 
 03/07  10:00:00,255377965.44577354,1909491352.6412544 
 03/07  11:00:00,255377965.44577354,1909491352.6412544 
 03/07  12:00:00,255377965.44577354,1909491352.6412544 
 03/07  13:00:00,127688982.72288677,1734442220.1192467 
 03/07  14:00:00,127688982.72288677,1734442220.1192467 
 03/07  15:00:00,127688982.72288677,1734442220.1192467 
 03/07  16:00:00,127688982.72288677,1734442220.1192467 
 03/07  17:00:00,127840555.060908,1734442220.1192467 
 03/07  18:00:00,43651026.62119345,1676092509.2785773 
 03/07  19:00:00,48674482.976884484,1676092509.2785773 
 03/07  20:00:00,38694479.62202592,1597820222.8892183 
 03/07  21:00:00,36545657.73145594,1597820222.8892183 
 03/07  22:00:00,36545657.73145594,1597820222.8892183 
 03/07  23:00:00,36545657.73145594,1597820222.8892183 
 03/07  24:00:00,36545657.73145594,1597820222.8892183 
 03/08  01:00:00,36545657.73145594,1597820222.8892183 
 03/08  02:00:00,36545657.73145594,1597820222.8892183 
 03/08  03:00:00,36545657.73145594,1597820222.8892183 
 03/08  04:00:00,36545657.73145594,1597820222.8892183 
 03/08  05:00:00,36545657.73145594,1597820222.8892183 
 03/08  06:00:00,47289767.18430585,1676092509.2785773 
 03/08  07:00:00,48455372.812168084,1676092509.2785773 
 03/08  08:00:00,43473059.18901703,1676092509.2785773 
 03/08  09:00:00,42577248.76147462,1676092509.2785773 
 03/08  10:00:00,42559924.65578557,1676092509.2785773 
 03/08  11:00:00,42559924.65578557,1676092509.2785773 
 03/08  12:00:00,42559924.65578557,1676092509.2785773 
 03/08  13:00:00,42559924.65578557,1676092509.2785773 
 03/08  14:00:00,42559924.65578557,1676092509.2785773 
 03/08  15:00:00,42559924.65578557,1676092509.2785773 
 03/08  16:00:00,42559924.65578557,1676092509.2785773 
 03/08  17:00:00,42613813.03454846,1676092509.2785773 
 03/08  18:00:00,35941047.89797475,1597820222.8892183 
 03/08  19:00:00,36517563.7892011,1597820222.8892183 
 03/08  20:00:00,36545657.73145594,1597820222.8892183 
 03/08  21:00:00,36545657.73145594,1597820222.8892183 
 03/08  22:00:00,36545657.73145594,1597820222.8892183 
 03/08  23:00:00,36545657.73145594,1597820222.8892183 
 03/08  24:00:00,36545657.73145594,1688428882.4407709 
 03/09  01:00:00,36545657.73145594,1688428882.4407709 
