Date/Time,Whole Building:Facility Total Electricity Demand Rate [W](Hourly) 
 03/01  01:00:00,723536.3353821778 
 03/01  02:00:00,716810.4405331902 
 03/01  03:00:00,710390.8087670513 
 03/01  04:00:00,713686.8462707415 
 03/01  05:00:00,708696.7707155071 
 03/01  06:00:00,731635.7456041429 
 03/01  07:00:00,827953.3630944326 
 03/01  08:00:00,816151.0919240002 
 03/01  09:00:00,831378.3034455915 
 03/01  10:00:00,847912.0838726368 
 03/01  11:00:00,798809.2897288268 
 03/01  12:00:00,825362.1517356882 
 03/01  13:00:00,824527.009737622 
 03/01  14:00:00,842165.8456371971 
 03/01  15:00:00,834216.5674829544 
 03/01  16:00:00,849732.8243555577 
 03/01  17:00:00,880446.2431510548 
 03/01  18:00:00,923619.1468421872 
 03/01  19:00:00,903566.1303360496 
 03/01  20:00:00,861279.9398675142 
 03/01  21:00:00,814193.8091637781 
 03/01  22:00:00,797993.0592760803 
 03/01  23:00:00,766016.6766448357 
 03/01  24:00:00,753986.9298895793 
 03/02  01:00:00,758161.5756622786 
 03/02  02:00:00,761937.3004339597 
 03/02  03:00:00,755105.4408392891 
 03/02  04:00:00,757495.2147930819 
 03/02  05:00:00,736700.85993208 
 03/02  06:00:00,817608.4515066437 
 03/02  07:00:00,964872.3400920938 
 03/02  08:00:00,995360.7647360419 
 03/02  09:00:00,1362016.4792430957 
 03/02  10:00:00,1363024.9139237779 
 03/02  11:00:00,1361844.413203669 
 03/02  12:00:00,1410470.8438217489 
 03/02  13:00:00,1338457.0671913342 
 03/02  14:00:00,1422604.1457482947 
 03/02  15:00:00,1449286.4212717472 
 03/02  16:00:00,1461466.5535185311 
 03/02  17:00:00,1518736.0477243855 
 03/02  18:00:00,1216382.8861324443 
 03/02  19:00:00,1112280.9496848613 
 03/02  20:00:00,1065278.7279351086 
 03/02  21:00:00,1046465.0970593289 
 03/02  22:00:00,994753.3533292244 
 03/02  23:00:00,832784.5877146866 
 03/02  24:00:00,796562.384218303 
 03/03  01:00:00,749464.6922250943 
 03/03  02:00:00,745021.9647177709 
 03/03  03:00:00,746806.1716028926 
 03/03  04:00:00,731959.8878263882 
 03/03  05:00:00,730387.9884014152 
 03/03  06:00:00,810257.3171099257 
 03/03  07:00:00,964479.9399118157 
 03/03  08:00:00,1003835.2251790304 
 03/03  09:00:00,1384688.1882085665 
 03/03  10:00:00,1428028.281088601 
 03/03  11:00:00,1426793.9080147902 
 03/03  12:00:00,1425699.5222672755 
 03/03  13:00:00,1355254.0465616556 
 03/03  14:00:00,1501385.0596505038 
 03/03  15:00:00,1540864.0953515598 
 03/03  16:00:00,1578262.6224102161 
 03/03  17:00:00,1638921.651460398 
 03/03  18:00:00,1271831.9977059055 
 03/03  19:00:00,1162507.9577589983 
 03/03  20:00:00,1113209.7892685076 
 03/03  21:00:00,1070771.877822122 
 03/03  22:00:00,1023267.9594962936 
 03/03  23:00:00,831697.0762980614 
 03/03  24:00:00,806891.9814786311 
 03/04  01:00:00,755305.8040988062 
 03/04  02:00:00,750783.5783816971 
 03/04  03:00:00,751933.0878219572 
 03/04  04:00:00,750868.7840020562 
 03/04  05:00:00,748401.8832730548 
 03/04  06:00:00,829678.8479564594 
 03/04  07:00:00,985042.3875203291 
 03/04  08:00:00,1018467.6759305116 
 03/04  09:00:00,1432760.165722006 
 03/04  10:00:00,1468483.7105364688 
 03/04  11:00:00,1415649.3899412558 
 03/04  12:00:00,1435084.7664936334 
 03/04  13:00:00,1413616.9425162375 
 03/04  14:00:00,1487373.5492036312 
 03/04  15:00:00,1520716.3843048268 
 03/04  16:00:00,1559500.1410364322 
 03/04  17:00:00,1594637.945834623 
 03/04  18:00:00,1264546.1889643592 
 03/04  19:00:00,1156239.060220909 
 03/04  20:00:00,1093199.2538066749 
 03/04  21:00:00,1039705.5775381859 
 03/04  22:00:00,1001770.2738467628 
 03/04  23:00:00,830656.3190720497 
 03/04  24:00:00,801540.2976564752 
 03/05  01:00:00,760183.0335246396 
 03/05  02:00:00,751320.2993358712 
 03/05  03:00:00,750578.2510475741 
 03/05  04:00:00,746346.3503290348 
 03/05  05:00:00,747770.0467557384 
 03/05  06:00:00,825353.4502586253 
 03/05  07:00:00,983245.7599910902 
 03/05  08:00:00,1012798.3146545244 
 03/05  09:00:00,1403143.204139607 
 03/05  10:00:00,1429695.5829435252 
 03/05  11:00:00,1457116.3234129725 
 03/05  12:00:00,1469359.1459008122 
 03/05  13:00:00,1361481.7341205 
 03/05  14:00:00,1434523.1101619413 
 03/05  15:00:00,1460778.5495595157 
 03/05  16:00:00,1505170.5675200748 
 03/05  17:00:00,1542886.3900972903 
 03/05  18:00:00,1223246.4524796864 
 03/05  19:00:00,1114958.675453264 
 03/05  20:00:00,1064732.5759471077 
 03/05  21:00:00,1022716.1522614005 
 03/05  22:00:00,991737.5901833727 
 03/05  23:00:00,822060.9690644821 
 03/05  24:00:00,797213.4411563388 
 03/06  01:00:00,738962.2727054782 
 03/06  02:00:00,733546.8511329369 
 03/06  03:00:00,732972.1577909047 
 03/06  04:00:00,732472.6840098929 
 03/06  05:00:00,732439.1431718533 
 03/06  06:00:00,809307.7973148067 
 03/06  07:00:00,952220.2667419725 
 03/06  08:00:00,986716.2480906075 
 03/06  09:00:00,1361512.3798788479 
 03/06  10:00:00,1370473.0771924492 
 03/06  11:00:00,1359809.1013573853 
 03/06  12:00:00,1426257.2368643766 
 03/06  13:00:00,1358742.211725693 
 03/06  14:00:00,1435750.3602323458 
 03/06  15:00:00,1459302.026479468 
 03/06  16:00:00,1497964.6415903072 
 03/06  17:00:00,1559605.4281852932 
 03/06  18:00:00,1230938.4289028302 
 03/06  19:00:00,1118471.1926578546 
 03/06  20:00:00,1072323.475216675 
 03/06  21:00:00,1027280.3848210103 
 03/06  22:00:00,990005.1445227033 
 03/06  23:00:00,820572.512490685 
 03/06  24:00:00,799967.1590106384 
 03/07  01:00:00,714483.216158485 
 03/07  02:00:00,708766.4572059062 
 03/07  03:00:00,708586.2217509855 
 03/07  04:00:00,707967.2896908284 
 03/07  05:00:00,707055.0315010023 
 03/07  06:00:00,789819.3421336706 
 03/07  07:00:00,971642.6448544059 
 03/07  08:00:00,959981.5224176309 
 03/07  09:00:00,1062269.915115661 
 03/07  10:00:00,1049457.3326866466 
 03/07  11:00:00,1018723.2112146752 
 03/07  12:00:00,1040942.2818339596 
 03/07  13:00:00,943186.9050933575 
 03/07  14:00:00,957189.22931674 
 03/07  15:00:00,966287.0466779488 
 03/07  16:00:00,974906.2081927579 
 03/07  17:00:00,1012287.9312300793 
 03/07  18:00:00,936584.846986868 
 03/07  19:00:00,921705.115080746 
 03/07  20:00:00,827406.8703095735 
 03/07  21:00:00,815087.009258435 
 03/07  22:00:00,785336.7648476688 
 03/07  23:00:00,758384.9556049228 
 03/07  24:00:00,741775.9720178085 
 03/08  01:00:00,725913.0741057665 
 03/08  02:00:00,708771.7183695672 
 03/08  03:00:00,708307.2200545041 
 03/08  04:00:00,707479.2793462536 
 03/08  05:00:00,724314.7471574565 
 03/08  06:00:00,820304.22880233 
 03/08  07:00:00,829842.0650792957 
 03/08  08:00:00,820094.617194278 
 03/08  09:00:00,842450.8297507976 
 03/08  10:00:00,796040.0723607942 
 03/08  11:00:00,813123.785741537 
 03/08  12:00:00,811961.0305689148 
 03/08  13:00:00,824037.441159231 
 03/08  14:00:00,820661.7809110653 
 03/08  15:00:00,837600.7692944701 
 03/08  16:00:00,874914.293922049 
 03/08  17:00:00,916526.2912343902 
 03/08  18:00:00,882605.0225019362 
 03/08  19:00:00,883225.6429009916 
 03/08  20:00:00,862228.5346023903 
 03/08  21:00:00,828980.0966446503 
 03/08  22:00:00,769881.3518341221 
 03/08  23:00:00,745944.9794935057 
 03/08  24:00:00,760057.5912745092 
 03/09  01:00:00,751028.7881822818 
 03/09  02:00:00,750797.073826056 
 03/09  03:00:00,752399.287034839 
 03/09  04:00:00,737038.2454740223 
 03/09  05:00:00,816383.5908625377 
 03/09  06:00:00,986726.4452042845 
 03/09  07:00:00,1036223.2076636432 
