Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,158298140.9946832,158298140.99468425,29404584.0,11656115.239317864,79472635.82437395 
 01/01  02:00:00,148721783.08298028,148721783.08298126,29404584.0,11656115.239317864,72776509.29434878 
 01/01  03:00:00,142171474.42089388,142171474.42089486,29404584.0,11656115.239317864,69428446.02933633 
 01/01  04:00:00,136801074.96360695,136801074.96360794,29404584.0,11656115.239317864,67754414.39683005 
 01/01  05:00:00,143390124.59772816,143390124.59772912,29404584.0,16975375.727318894,71432354.39683005 
 01/01  06:00:00,169255542.95693928,169255542.95694023,29404584.0,26284081.875110786,87158392.55936149 
 01/01  07:00:00,206532777.35102493,206532777.35102597,235845975.75246602,27613896.938352972,120284500.51693058 
 01/01  08:00:00,221454076.07781062,221454076.07781154,278390381.3709415,26284081.875110786,146054728.47449982 
 01/01  09:00:00,228920261.18612635,228920261.18612725,273451997.9312524,16975375.727318894,147728760.107006 
 01/01  10:00:00,244355698.2607247,244355698.2607257,226556108.45711237,14315745.365802372,138368971.73951268 
 01/01  11:00:00,259188212.03406867,259188212.03406972,219229614.70818126,14315745.365802372,127005275.00452524 
 01/01  12:00:00,192961327.09028623,192961327.0902872,177343495.6172243,14315745.365802372,128679306.63703147 
 01/01  13:00:00,156542023.88292187,156542023.88292286,143701014.50338593,14315745.365802372,127005275.00452524 
 01/01  14:00:00,237784444.27405468,237784444.2740556,140911267.50659716,14315745.365802372,121983180.10700601 
 01/01  15:00:00,259268238.60151738,259268238.6015184,110994682.61655474,14315745.365802372,120309148.4744998 
 01/01  16:00:00,238074533.94401184,238074533.94401288,140819732.22305846,18305191.025593143,125331243.3720189 
 01/01  17:00:00,260802466.91349402,260802466.913495,144528277.30272323,27613896.938352972,160131382.9620943 
 01/01  18:00:00,313607187.2231138,313607187.223114,216368359.2452268,35592787.787870474,204645835.6122203 
 01/01  19:00:00,293004098.9391485,293004098.93914944,228201936.74076462,44901493.93566237,204645835.6122203 
 01/01  20:00:00,280250947.3161406,280250947.31614155,224627807.09107992,51550569.72193773,185571734.18467608 
 01/01  21:00:00,367270464.8029187,367270464.80291945,218376088.6577015,51550569.72193773,178875607.65465096 
 01/01  22:00:00,323801529.6744542,323801529.67445517,177324017.54815644,38252418.149386905,164823601.124626 
 01/01  23:00:00,257857684.64803982,257857684.64804083,143743123.53990388,24954266.576836366,134031278.26953766 
 01/01  24:00:00,202839268.00789183,202839268.00789285,81487982.26774237,15645560.66407668,104912987.04695597 
 01/02  01:00:00,167695115.3696127,167695115.36961368,29404584.0,11656115.239317864,79472635.82437395 
 01/02  02:00:00,157323468.87049338,157323468.87049437,29404584.0,11656115.239317864,72776509.29434878 
 01/02  03:00:00,151506142.05965763,151506142.0596586,29404584.0,11656115.239317864,69428446.02933633 
 01/02  04:00:00,147286794.6131998,147286794.61320072,29404584.0,11656115.239317864,67754414.39683005 
 01/02  05:00:00,153159984.44328457,153159984.44328558,29404584.0,16975375.727318894,71432354.39683005 
 01/02  06:00:00,177853402.64834607,177853402.6483471,29404584.0,26284081.875110786,87158392.55936149 
 01/02  07:00:00,216730634.38373032,216730634.38373128,235692144.27234077,27613896.938352972,120284500.51693058 
 01/02  08:00:00,233483552.95207906,233483552.95208007,278489983.3384282,26284081.875110786,146054728.47449982 
 01/02  09:00:00,236648445.8199724,236648445.81997335,273638180.73502254,16975375.727318894,147728760.107006 
 01/02  10:00:00,247121851.0942226,247121851.09422356,239506745.76873073,14315745.365802372,138368971.73951268 
 01/02  11:00:00,243691373.31491455,243691373.3149156,207082969.39341444,14315745.365802372,127005275.00452524 
 01/02  12:00:00,158246449.21108654,158246449.21108755,177503827.0121141,14315745.365802372,128679306.63703147 
 01/02  13:00:00,214250450.1963508,214250450.19635177,153474883.52958545,14315745.365802372,127005275.00452524 
 01/02  14:00:00,264566910.5233354,264566910.52333632,131519120.76116346,14315745.365802372,121983180.10700601 
 01/02  15:00:00,262566153.60262385,262566153.60262477,111074470.10260057,14315745.365802372,120309148.4744998 
 01/02  16:00:00,273087806.24227476,273087806.2422757,140858774.56428748,18305191.025593143,125331243.3720189 
 01/02  17:00:00,314718359.450618,314718359.4506189,162969280.75521594,27613896.938352972,160131382.9620943 
 01/02  18:00:00,294078965.4015179,294078965.40151834,196526995.56081292,35592787.787870474,204645835.6122203 
 01/02  19:00:00,336130078.69114155,336130078.69114053,256743642.72389418,44901493.93566237,204645835.6122203 
 01/02  20:00:00,280250947.3161406,280250947.31614155,229226614.99728376,51550569.72193773,185571734.18467608 
 01/02  21:00:00,312325212.4940248,312325212.4940251,218072658.85149536,51550569.72193773,178875607.65465096 
 01/02  22:00:00,336738669.4361155,336738669.4361164,155464425.80000633,38252418.149386905,164823601.124626 
 01/02  23:00:00,283806059.4388356,283806059.4388365,165231006.59388798,24954266.576836366,134031278.26953766 
 01/02  24:00:00,227893181.0876476,227893181.08764863,81335069.23193099,15645560.66407668,104912987.04695597 
 01/03  01:00:00,183214042.26669708,183214042.26669812,29404584.0,11656115.239317864,79472635.82437395 
 01/03  02:00:00,166720701.38977584,166720701.38977683,29404584.0,11656115.239317864,72776509.29434878 
